image_name,number_symbols,average_length,variance_length,bits_per_pixel,entropy,compression_time
Amethyst_0.jpeg,256,4.1200,14.5422,4.1200,4.0811,0.030832
Amethyst_1.jpeg,256,6.7642,7.3516,6.7642,6.7366,0.031031
Amethyst_10.jpeg,216,4.8189,13.7434,4.8189,4.8023,0.031006
Amethyst_100.jpeg,146,2.8267,9.2054,2.8267,2.6812,0.030329
Amethyst_1000.jpeg,251,4.8056,14.8294,4.8056,4.7890,0.030390
Amethyst_1001.jpeg,256,4.7640,14.9192,4.7640,4.7529,0.029183
Amethyst_1002.jpeg,256,4.6306,15.2704,4.6306,4.6089,0.029553
Amethyst_1003.jpeg,236,6.6525,5.9387,6.6525,6.6190,0.030658
Amethyst_1004.jpeg,256,7.0577,3.8150,7.0577,7.0251,0.030920
Amethyst_1005.jpeg,256,6.0072,7.8593,6.0072,5.9733,0.028990
Amethyst_1006.jpeg,256,4.0072,14.1834,4.0072,3.9596,0.030327
Amethyst_1007.jpeg,256,6.5752,7.5076,6.5752,6.5480,0.030232
Amethyst_1008.jpeg,234,6.5144,6.0507,6.5144,6.4808,0.035342
Amethyst_1009.jpeg,256,6.6335,6.7861,6.6335,6.6022,0.031553
Amethyst_101.jpeg,173,5.8847,6.8107,5.8847,5.8606,0.030975
Amethyst_1010.jpeg,253,5.5399,7.9503,5.5399,5.4749,0.028793
Amethyst_1011.jpeg,253,6.2326,7.8377,6.2326,6.2048,0.030802
Amethyst_1012.jpeg,256,5.1734,15.3767,5.1734,5.1517,0.030272
Amethyst_1013.jpeg,256,3.4759,13.0476,3.4759,3.3776,0.033348
Amethyst_1014.jpeg,256,5.8019,8.6739,5.8019,5.7488,0.032192
Amethyst_1015.jpeg,253,5.2897,14.0348,5.2897,5.2528,0.031147
Amethyst_1016.jpeg,256,5.0300,13.8250,5.0300,5.0022,0.029149
Amethyst_1017.jpeg,224,5.5919,8.1046,5.5919,5.5265,0.029970
Amethyst_1018.jpeg,225,4.7817,12.7714,4.7817,4.7602,0.032028
Amethyst_1019.jpeg,256,7.0344,3.1767,7.0344,7.0148,0.033766
Amethyst_102.jpeg,246,5.3583,12.3039,5.3583,5.2990,0.030431
Amethyst_1020.jpeg,252,5.2089,14.6650,5.2089,5.1838,0.030401
Amethyst_1021.jpeg,245,4.9131,14.4390,4.9131,4.8949,0.030246
Amethyst_1022.jpeg,256,4.7000,14.0145,4.7000,4.6794,0.029112
Amethyst_1023.jpeg,256,5.9939,9.1399,5.9939,5.9341,0.030207
Amethyst_1024.jpeg,256,6.8761,3.9255,6.8761,6.8387,0.033640
Amethyst_1025.jpeg,255,5.2744,15.3049,5.2744,5.2497,0.030514
Amethyst_1026.jpeg,164,2.0816,6.2275,2.0816,1.7207,0.029420
Amethyst_1027.jpeg,251,6.1888,6.3077,6.1888,6.1652,0.029883
Amethyst_1028.jpeg,252,6.6322,5.8662,6.6322,6.6003,0.030388
Amethyst_1029.jpeg,256,6.0629,7.5588,6.0629,6.0369,0.030095
Amethyst_103.jpeg,252,4.9731,14.3258,4.9731,4.9525,0.026150
Amethyst_1030.jpeg,256,4.5199,13.7008,4.5199,4.5054,0.030368
Amethyst_1031.jpeg,256,5.9546,9.2360,5.9546,5.8938,0.030417
Amethyst_1032.jpeg,254,6.3377,8.2768,6.3377,6.3082,0.029726
Amethyst_1033.jpeg,256,6.3571,7.9979,6.3571,6.3326,0.026723
Amethyst_1034.jpeg,256,6.4781,7.7984,6.4781,6.4537,0.030346
Amethyst_1035.jpeg,256,6.9821,4.0672,6.9821,6.9473,0.030143
Amethyst_1036.jpeg,256,6.3896,7.3609,6.3896,6.3694,0.036593
Amethyst_1037.jpeg,256,6.4216,7.9789,6.4216,6.3894,0.030563
Amethyst_1038.jpeg,254,5.9014,3.5289,5.9014,5.8630,0.032945
Amethyst_1039.jpeg,240,5.5494,6.5584,5.5494,5.5161,0.029730
Amethyst_104.jpeg,253,6.8136,6.5584,6.8136,6.7739,0.030143
Amethyst_1040.jpeg,253,3.2114,12.3640,3.2114,3.0692,0.028909
Amethyst_1041.jpeg,247,6.3973,2.7923,6.3973,6.3723,0.025482
Amethyst_1042.jpeg,256,6.7557,6.3343,6.7557,6.7195,0.029952
Amethyst_1043.jpeg,255,6.1278,5.7616,6.1278,6.0937,0.030326
Amethyst_1044.jpeg,211,6.2481,6.7854,6.2481,6.2350,0.029666
Amethyst_1045.jpeg,209,6.6697,6.1174,6.6697,6.6368,0.038689
Amethyst_1046.jpeg,218,5.7679,7.7180,5.7679,5.7226,0.029823
Amethyst_1047.jpeg,243,3.7516,11.8233,3.7516,3.7152,0.038946
Amethyst_1048.jpeg,256,5.2230,14.3075,5.2230,5.1942,0.029872
Amethyst_1049.jpeg,256,3.9054,14.3941,3.9054,3.8508,0.031980
Amethyst_105.jpeg,256,7.0471,6.7960,7.0471,7.0242,0.030330
Amethyst_1050.jpeg,256,6.6681,6.9891,6.6681,6.6372,0.028974
Amethyst_1051.jpeg,256,6.1636,8.6527,6.1636,6.1187,0.039353
Amethyst_1052.jpeg,256,7.6400,1.0154,7.6400,7.6088,0.032069
Amethyst_1053.jpeg,256,6.9658,6.4923,6.9658,6.9240,0.037979
Amethyst_1054.jpeg,256,7.6225,0.7358,7.6225,7.6015,0.030423
Amethyst_1055.jpeg,256,6.6737,7.2997,6.6737,6.6470,0.034349
Amethyst_1056.jpeg,255,4.7648,14.4857,4.7648,4.7549,0.026835
Amethyst_1057.jpeg,250,5.6395,7.3547,5.6395,5.5900,0.020860
Amethyst_1058.jpeg,254,6.4050,3.3694,6.4050,6.3872,0.029748
Amethyst_1059.jpeg,256,6.6719,5.8349,6.6719,6.6347,0.029859
Amethyst_106.jpeg,256,7.7218,1.2585,7.7218,7.6843,0.034372
Amethyst_1060.jpeg,248,6.3515,3.4619,6.3515,6.3281,0.029661
Amethyst_1061.jpeg,256,4.4287,14.5957,4.4287,4.4081,0.024755
Amethyst_1062.jpeg,252,4.8662,13.7349,4.8662,4.8417,0.029447
Amethyst_1063.jpeg,256,5.7855,14.2761,5.7855,5.7169,0.030213
Amethyst_1064.jpeg,256,6.1969,8.7560,6.1969,6.1589,0.033318
Amethyst_1065.jpeg,256,6.5416,7.4873,6.5416,6.5216,0.031224
Amethyst_1066.jpeg,256,6.3789,7.9296,6.3789,6.3569,0.030099
Amethyst_1067.jpeg,256,6.6302,7.1912,6.6302,6.6112,0.029866
Amethyst_1068.jpeg,256,6.7502,6.9978,6.7502,6.7181,0.029909
Amethyst_1069.jpeg,256,5.2504,14.7225,5.2504,5.2268,0.030374
Amethyst_107.jpeg,232,4.2504,12.9560,4.2504,4.2350,0.030932
