image_name,number_symbols,average_length,variance_length,bits_per_pixel,entropy,compression_time
Azurite_0.jpeg,256,6.1745,8.2373,6.1745,6.1433,0.030919
Azurite_1.jpeg,256,6.4593,7.7493,6.4593,6.4312,0.030904
Azurite_10.jpeg,256,4.6195,14.7082,4.6195,4.6012,0.029478
Azurite_100.jpeg,254,4.8411,13.9963,4.8411,4.8209,0.031359
Azurite_1000.jpeg,256,5.5378,14.2031,5.5378,5.4837,0.031050
Azurite_1001.jpeg,256,4.9223,15.4523,4.9223,4.9042,0.031143
Azurite_1002.jpeg,256,6.3392,8.8251,6.3392,6.2922,0.036361
Azurite_1003.jpeg,256,7.6834,1.2913,7.6834,7.6644,0.033055
Azurite_1004.jpeg,256,5.4690,14.6564,5.4690,5.4363,0.031321
Azurite_1005.jpeg,256,6.1098,8.6774,6.1098,6.0731,0.030998
Azurite_1006.jpeg,256,6.2099,8.7137,6.2099,6.1747,0.033026
Azurite_1007.jpeg,256,7.2747,1.0230,7.2747,7.2574,0.032341
Azurite_1008.jpeg,237,7.0936,1.2632,7.0936,7.0543,0.030240
Azurite_1009.jpeg,256,7.1219,3.4017,7.1219,7.0806,0.044009
Azurite_101.jpeg,255,6.9181,3.7970,6.9181,6.8797,0.069996
Azurite_1010.jpeg,243,6.8789,3.0991,6.8789,6.8471,0.061988
Azurite_1011.jpeg,230,7.2349,1.2210,7.2349,7.2022,0.054006
Azurite_1012.jpeg,244,7.2719,0.8927,7.2719,7.2382,0.032998
Azurite_1013.jpeg,246,5.9760,7.2633,5.9760,5.9436,0.034009
Azurite_1014.jpeg,188,6.5152,1.0582,6.5152,6.4909,0.031775
Azurite_1015.jpeg,239,7.0527,1.0342,7.0527,7.0154,0.033088
Azurite_1016.jpeg,201,4.6985,12.2302,4.6985,4.6798,0.033998
Azurite_1017.jpeg,251,7.3215,1.4928,7.3215,7.2850,0.032995
Azurite_1018.jpeg,247,7.4926,0.8323,7.4926,7.4650,0.031002
Azurite_1019.jpeg,242,6.9937,1.3100,6.9937,6.9578,0.030993
Azurite_102.jpeg,256,5.6682,14.6060,5.6682,5.6197,0.030041
Azurite_1020.jpeg,248,7.4954,0.8540,7.4954,7.4718,0.031024
Azurite_1021.jpeg,256,7.5843,2.8737,7.5843,7.5421,0.031001
Azurite_1022.jpeg,256,6.2723,8.9972,6.2723,6.2327,0.029990
Azurite_1023.jpeg,256,7.5842,1.6613,7.5842,7.5563,0.027997
Azurite_1024.jpeg,256,5.1707,12.7252,5.1707,5.1321,0.030980
Azurite_1025.jpeg,256,4.8989,14.9338,4.8989,4.8834,0.032999
Azurite_1026.jpeg,256,5.3027,12.8689,5.3027,5.2518,0.032156
Azurite_1027.jpeg,250,5.2679,14.1849,5.2679,5.2314,0.029957
Azurite_1028.jpeg,241,6.1722,7.1403,6.1722,6.1331,0.030152
Azurite_1029.jpeg,253,5.6529,7.4818,5.6529,5.6090,0.029316
Azurite_103.jpeg,256,5.3890,14.0060,5.3890,5.3427,0.029239
Azurite_1030.jpeg,252,5.2104,5.7304,5.2104,5.1777,0.029070
Azurite_1031.jpeg,255,3.8467,13.0781,3.8467,3.8015,0.029032
Azurite_1032.jpeg,256,4.1459,13.6875,4.1459,4.1224,0.029046
Azurite_1033.jpeg,256,5.5316,13.8413,5.5316,5.4805,0.032037
Azurite_1034.jpeg,254,5.2962,13.8656,5.2962,5.2566,0.028850
Azurite_1035.jpeg,248,4.4636,14.5420,4.4636,4.4420,0.027160
Azurite_1036.jpeg,247,3.1748,10.8811,3.1748,3.0722,0.030327
Azurite_1037.jpeg,238,4.0210,13.1324,4.0210,3.9932,0.030297
Azurite_1038.jpeg,256,4.9616,13.7495,4.9616,4.9335,0.028327
Azurite_1039.jpeg,256,6.7672,7.2667,6.7672,6.7478,0.031248
Azurite_104.jpeg,256,7.6860,0.7117,7.6860,7.6437,0.030377
Azurite_1040.jpeg,256,7.8135,0.7638,7.8135,7.7743,0.029969
Azurite_1041.jpeg,256,7.4608,2.9599,7.4608,7.4285,0.027169
Azurite_1042.jpeg,256,6.6632,7.6761,6.6632,6.6405,0.031052
Azurite_1043.jpeg,256,7.8789,0.5616,7.8789,7.8551,0.031576
Azurite_1044.jpeg,256,7.4032,3.2426,7.4032,7.3771,0.027997
Azurite_1045.jpeg,256,7.6755,1.3102,7.6755,7.6544,0.028118
Azurite_1046.jpeg,256,6.1711,9.3607,6.1711,6.1186,0.028998
Azurite_1047.jpeg,256,5.9402,14.8297,5.9402,5.8753,0.031013
Azurite_1048.jpeg,256,7.7796,0.6974,7.7796,7.7483,0.031012
Azurite_1049.jpeg,256,6.3111,7.9235,6.3111,6.2839,0.031012
Azurite_105.jpeg,228,6.2201,5.2390,6.2201,6.1775,0.028998
Azurite_1050.jpeg,256,5.7086,8.3545,5.7086,5.6564,0.029059
Azurite_1051.jpeg,255,7.3500,1.4395,7.3500,7.3154,0.029123
Azurite_1052.jpeg,256,7.9456,0.2796,7.9456,7.9130,0.029037
Azurite_1053.jpeg,256,6.4811,8.0232,6.4811,6.4561,0.033023
Azurite_1054.jpeg,256,6.9776,3.5874,6.9776,6.9575,0.030101
Azurite_1055.jpeg,256,7.4301,0.8990,7.4301,7.4145,0.033146
Azurite_1056.jpeg,256,7.4670,0.8682,7.4670,7.4434,0.032144
Azurite_1057.jpeg,256,7.3295,1.0249,7.3295,7.2935,0.031602
Azurite_1058.jpeg,256,7.4157,0.7555,7.4157,7.3922,0.028006
Azurite_1059.jpeg,256,7.6134,0.8919,7.6134,7.5835,0.036125
Azurite_106.jpeg,256,6.4251,7.5523,6.4251,6.4029,0.029005
Azurite_1060.jpeg,256,5.5115,14.0425,5.5115,5.4586,0.033138
Azurite_1061.jpeg,256,7.0579,2.4537,7.0579,7.0248,0.030036
Azurite_1062.jpeg,256,5.8395,8.9140,5.8395,5.7825,0.031066
Azurite_1063.jpeg,256,6.6287,7.7924,6.6287,6.5996,0.033128
Azurite_1064.jpeg,256,7.1127,5.9717,7.1127,7.0635,0.028014
Azurite_1065.jpeg,256,6.9284,6.5660,6.9284,6.8931,0.029586
Azurite_1066.jpeg,256,6.8356,6.6559,6.8356,6.8018,0.032128
Azurite_1067.jpeg,256,7.5471,2.6596,7.5471,7.5213,0.031919
Azurite_1068.jpeg,256,5.6502,14.9778,5.6502,5.6019,0.032075
Azurite_1069.jpeg,256,7.2722,3.1287,7.2722,7.2490,0.031011
Azurite_107.jpeg,256,7.1654,3.6996,7.1654,7.1328,0.030993
