image_name,number_symbols,average_length,variance_length,bits_per_pixel,entropy,compression_time
Calcite_0.jpeg,256,6.0154,8.5838,6.0154,5.9767,0.019045
Calcite_1.jpeg,256,6.3037,8.4361,6.3037,6.2735,0.018008
Calcite_10.jpeg,256,6.0883,6.6508,6.0883,6.0628,0.020267
Calcite_100.jpeg,217,2.9795,9.7224,2.9795,2.8553,0.017904
Calcite_1000.jpeg,256,5.8904,15.0543,5.8904,5.8284,0.020730
Calcite_1001.jpeg,246,6.8363,2.2135,6.8363,6.8073,0.019896
Calcite_1002.jpeg,256,7.2146,3.1886,7.2146,7.1909,0.020079
Calcite_1003.jpeg,252,6.3474,6.8945,6.3474,6.3189,0.023030
Calcite_1004.jpeg,256,6.5214,8.0350,6.5214,6.4943,0.021007
Calcite_1005.jpeg,256,6.9522,3.9293,6.9522,6.9134,0.019077
Calcite_1006.jpeg,252,6.4028,6.8664,6.4028,6.3736,0.020060
Calcite_1007.jpeg,225,5.8149,7.9997,5.8149,5.7682,0.020005
Calcite_1008.jpeg,224,4.6403,13.0779,4.6403,4.6185,0.018000
Calcite_1009.jpeg,195,3.6470,12.1835,3.6470,3.5854,0.021030
Calcite_101.jpeg,250,6.4744,3.8893,6.4744,6.4442,0.022073
Calcite_1010.jpeg,215,4.4522,13.9218,4.4522,4.4325,0.017102
Calcite_1011.jpeg,198,4.1691,12.7730,4.1691,4.1486,0.018874
Calcite_1012.jpeg,249,6.2187,7.1591,6.2187,6.2011,0.019028
Calcite_1013.jpeg,256,6.0492,8.6102,6.0492,6.0035,0.020987
Calcite_1014.jpeg,230,5.6273,8.2231,5.6273,5.5622,0.020802
Calcite_1015.jpeg,177,3.8309,11.8131,3.8309,3.7968,0.019987
Calcite_1016.jpeg,236,5.4389,13.9948,5.4389,5.4046,0.017076
Calcite_1017.jpeg,254,6.3701,6.5168,6.3701,6.3503,0.020253
Calcite_1018.jpeg,256,4.6145,15.0397,4.6145,4.6008,0.019025
Calcite_1019.jpeg,256,5.3398,15.5022,5.3398,5.3061,0.017958
Calcite_102.jpeg,256,7.0027,3.6486,7.0027,6.9771,0.020019
Calcite_1020.jpeg,183,3.1810,9.8692,3.1810,3.0971,0.021011
Calcite_1021.jpeg,256,6.2761,8.2165,6.2761,6.2485,0.016486
Calcite_1022.jpeg,256,7.2858,3.0283,7.2858,7.2602,0.016978
Calcite_1023.jpeg,201,6.7871,2.7435,6.7871,6.7505,0.020029
Calcite_1024.jpeg,256,5.7174,8.0682,5.7174,5.6702,0.020016
Calcite_1025.jpeg,238,5.1973,13.6661,5.1973,5.1602,0.017996
Calcite_1026.jpeg,256,5.2616,15.0198,5.2616,5.2359,0.018374
Calcite_1027.jpeg,256,6.1627,8.8211,6.1627,6.1164,0.019051
Calcite_1028.jpeg,256,6.5026,8.2602,6.5026,6.4801,0.020035
Calcite_1029.jpeg,120,1.2977,1.8690,1.2977,0.5761,0.019037
Calcite_103.jpeg,256,5.7480,14.9507,5.7480,5.6924,0.021019
Calcite_1030.jpeg,1,0.0000,0.0000,0.0000,-0.0000,0.018009
Calcite_1031.jpeg,175,2.5767,8.5173,2.5767,2.3725,0.017995
Calcite_1032.jpeg,256,6.0549,9.1310,6.0549,5.9999,0.020036
Calcite_1033.jpeg,193,4.6438,12.9765,4.6438,4.6251,0.020024
Calcite_1034.jpeg,244,6.0122,7.3625,6.0122,5.9913,0.019044
Calcite_1035.jpeg,212,6.2999,3.0858,6.2999,6.2772,0.018006
Calcite_1036.jpeg,176,2.5503,8.2071,2.5503,2.3458,0.019050
Calcite_1037.jpeg,254,6.3410,8.3396,6.3410,6.3024,0.019018
Calcite_1038.jpeg,227,5.7285,7.8414,5.7285,5.6787,0.021024
Calcite_1039.jpeg,253,7.2256,3.1633,7.2256,7.1967,0.018569
Calcite_104.jpeg,254,5.2327,15.1221,5.2327,5.2068,0.019123
Calcite_1040.jpeg,231,6.4982,6.8913,6.4982,6.4707,0.023017
Calcite_1041.jpeg,214,4.6837,13.0673,4.6837,4.6706,0.018160
Calcite_1042.jpeg,235,4.0997,12.8108,4.0997,4.0752,0.020054
Calcite_1043.jpeg,256,5.9758,8.4358,5.9758,5.9360,0.019206
Calcite_1044.jpeg,236,5.0378,13.7643,5.0378,5.0087,0.017703
Calcite_1045.jpeg,256,5.2807,15.3617,5.2807,5.2572,0.017090
Calcite_1046.jpeg,256,5.1031,15.7236,5.1031,5.0798,0.018237
Calcite_1047.jpeg,256,4.8672,15.2784,4.8672,4.8517,0.021237
Calcite_1048.jpeg,204,3.3780,12.3546,3.3780,3.2660,0.020044
Calcite_1049.jpeg,210,3.3296,11.3600,3.3296,3.2429,0.019000
Calcite_105.jpeg,256,6.0386,8.6751,6.0386,5.9975,0.019698
Calcite_1050.jpeg,255,5.2010,15.5073,5.2010,5.1774,0.020318
Calcite_1051.jpeg,236,3.1084,11.1759,3.1084,2.9694,0.017030
Calcite_1052.jpeg,241,5.1681,14.0223,5.1681,5.1432,0.018987
Calcite_1053.jpeg,185,4.6793,11.3874,4.6793,4.6527,0.018014
Calcite_1054.jpeg,256,6.2917,8.5248,6.2917,6.2593,0.022009
Calcite_1055.jpeg,256,6.2406,9.1422,6.2406,6.1943,0.021096
Calcite_1056.jpeg,241,7.4283,0.9147,7.4283,7.4052,0.024630
Calcite_1057.jpeg,1,0.0000,0.0000,0.0000,-0.0000,0.017014
Calcite_1058.jpeg,249,7.8168,0.4179,7.8168,7.7913,0.020789
Calcite_1059.jpeg,256,6.6066,7.6349,6.6066,6.5767,0.021019
Calcite_106.jpeg,256,7.0353,6.3494,7.0353,6.9956,0.019541
Calcite_1060.jpeg,196,2.4530,7.9067,2.4530,2.2079,0.020237
