image_name,number_symbols,average_length,variance_length,bits_per_pixel,entropy,compression_time
Copper_0.jpeg,256,4.2330,14.0958,4.2330,4.2081,0.016995
Copper_1.jpeg,256,5.4830,15.2133,5.4830,5.4501,0.019020
Copper_10.jpeg,256,6.4571,7.9541,6.4571,6.4313,0.023022
Copper_100.jpeg,241,7.7624,0.3503,7.7624,7.7341,0.019009
Copper_1000.jpeg,205,4.3998,13.6269,4.3998,4.3867,0.018054
Copper_1001.jpeg,251,3.8736,13.1386,3.8736,3.8271,0.018034
Copper_1002.jpeg,256,3.9773,14.1830,3.9773,3.9351,0.021018
Copper_1003.jpeg,256,4.7381,14.8223,4.7381,4.7189,0.017567
Copper_1004.jpeg,256,6.0312,8.5660,6.0312,5.9798,0.018132
Copper_1005.jpeg,256,7.8440,0.8831,7.8440,7.8130,0.018000
Copper_1006.jpeg,256,4.6847,14.3587,4.6847,4.6658,0.019001
Copper_1007.jpeg,256,6.8756,4.3991,6.8756,6.8316,0.017999
Copper_1008.jpeg,256,4.8799,13.9565,4.8799,4.8621,0.019998
Copper_1009.jpeg,256,5.8252,8.8160,5.8252,5.7729,0.020000
Copper_101.jpeg,256,7.6664,1.0732,7.6664,7.6304,0.021998
Copper_1010.jpeg,256,4.2212,14.4759,4.2212,4.1937,0.017998
Copper_1011.jpeg,256,6.5036,8.1352,6.5036,6.4786,0.018998
Copper_1012.jpeg,245,3.4542,12.5012,3.4542,3.3605,0.019465
Copper_1013.jpeg,254,3.7066,13.8734,3.7066,3.6267,0.019519
Copper_1014.jpeg,256,3.8868,14.4049,3.8868,3.8284,0.022994
Copper_1015.jpeg,232,6.9745,1.5209,6.9745,6.9450,0.019016
Copper_1016.jpeg,214,6.2090,6.0756,6.2090,6.1794,0.021051
Copper_1017.jpeg,256,6.3301,7.1714,6.3301,6.3122,0.018019
Copper_1018.jpeg,256,5.5194,13.8776,5.5194,5.4622,0.019045
Copper_1019.jpeg,256,2.6466,9.8107,2.6466,2.4095,0.020040
Copper_102.jpeg,239,5.7588,8.4865,5.7588,5.6959,0.018010
Copper_1020.jpeg,239,6.4628,6.6960,6.4628,6.4376,0.018035
Copper_1021.jpeg,178,6.3377,2.9524,6.3377,6.3082,0.019986
Copper_1022.jpeg,256,3.4796,11.8389,3.4796,3.4145,0.019989
Copper_1023.jpeg,256,7.6103,1.5876,7.6103,7.5833,0.017398
Copper_1024.jpeg,256,5.4185,15.0259,5.4185,5.3851,0.018032
Copper_1025.jpeg,256,5.9589,9.3674,5.9589,5.9031,0.019051
Copper_1026.jpeg,256,5.0873,15.8752,5.0873,5.0679,0.020040
