image_name,number_symbols,average_length,variance_length,bits_per_pixel,entropy,compression_time
Fluorite_0.jpeg,256,6.4987,7.4359,6.4987,6.4792,0.018999
Fluorite_1.jpeg,256,6.0280,8.5299,6.0280,5.9919,0.018988
Fluorite_10.jpeg,256,5.8679,14.2049,5.8679,5.7961,0.020862
Fluorite_100.jpeg,178,1.5496,3.5689,1.5496,0.9562,0.019046
Fluorite_1000.jpeg,254,5.6134,8.4247,5.6134,5.5511,0.018074
Fluorite_1001.jpeg,236,5.4966,12.8842,5.4966,5.4309,0.018008
Fluorite_1002.jpeg,256,5.6382,14.0443,5.6382,5.5833,0.019028
Fluorite_1003.jpeg,256,6.7219,7.6128,6.7219,6.7042,0.021003
Fluorite_1004.jpeg,256,4.0031,13.7153,4.0031,3.9690,0.019995
Fluorite_1005.jpeg,235,5.9650,8.2440,5.9650,5.9285,0.019026
Fluorite_1006.jpeg,256,5.6247,14.6684,5.6247,5.5685,0.020044
Fluorite_1007.jpeg,256,6.6582,7.0169,6.6582,6.6369,0.019825
Fluorite_1008.jpeg,256,6.1490,9.0464,6.1490,6.1282,0.019039
Fluorite_1009.jpeg,222,7.1280,2.6650,7.1280,7.1031,0.017018
Fluorite_101.jpeg,184,1.4707,2.9722,1.4707,0.8538,0.020290
Fluorite_1010.jpeg,256,6.7751,3.6030,6.7751,6.7421,0.019973
Fluorite_1011.jpeg,256,7.2800,3.8076,7.2800,7.2434,0.019075
Fluorite_1012.jpeg,256,6.4637,5.8750,6.4637,6.4200,0.020071
Fluorite_1013.jpeg,256,7.3407,3.4362,7.3407,7.3131,0.019923
Fluorite_1014.jpeg,256,6.6083,7.2033,6.6083,6.5739,0.019073
Fluorite_1015.jpeg,256,6.6284,6.4313,6.6284,6.6041,0.018042
Fluorite_1016.jpeg,256,5.7412,8.7832,5.7412,5.6850,0.016688
Fluorite_1017.jpeg,256,6.4917,7.1487,6.4917,6.4709,0.017987
Fluorite_1018.jpeg,256,6.3584,7.9411,6.3584,6.3319,0.019015
Fluorite_1019.jpeg,256,6.2290,8.2768,6.2290,6.1983,0.017998
Fluorite_102.jpeg,256,6.2970,8.4459,6.2970,6.2643,0.019926
Fluorite_1020.jpeg,256,5.6763,8.5267,5.6763,5.6147,0.019018
Fluorite_1021.jpeg,255,5.2730,12.1032,5.2730,5.2177,0.018997
Fluorite_1022.jpeg,256,5.6076,7.8049,5.6076,5.5634,0.019001
Fluorite_1023.jpeg,254,7.1258,2.8383,7.1258,7.1040,0.020999
Fluorite_1024.jpeg,256,6.3840,7.5243,6.3840,6.3646,0.018015
Fluorite_1025.jpeg,256,5.4843,15.5795,5.4843,5.4457,0.019945
Fluorite_1026.jpeg,255,7.5428,0.9666,7.5428,7.5213,0.018843
Fluorite_1027.jpeg,175,2.8957,9.5966,2.8957,2.7449,0.020218
Fluorite_1028.jpeg,214,3.7438,12.2381,3.7438,3.7027,0.020645
Fluorite_1029.jpeg,237,6.6852,5.9121,6.6852,6.6468,0.019001
Fluorite_103.jpeg,256,7.3757,2.8402,7.3757,7.3349,0.015125
Fluorite_1030.jpeg,253,5.2364,14.0297,5.2364,5.2045,0.013015
Fluorite_1031.jpeg,252,7.3902,1.4793,7.3902,7.3683,0.022398
Fluorite_1032.jpeg,219,4.2394,12.9328,4.2394,4.2217,0.018269
Fluorite_1033.jpeg,213,3.5124,11.6998,3.5124,3.4446,0.024057
Fluorite_1034.jpeg,256,7.2494,3.6765,7.2494,7.2116,0.016301
Fluorite_1035.jpeg,256,5.9591,8.2418,5.9591,5.9225,0.020785
Fluorite_1036.jpeg,251,7.2469,3.4317,7.2469,7.2150,0.019961
Fluorite_1037.jpeg,256,5.7656,14.7193,5.7656,5.6976,0.019058
Fluorite_1038.jpeg,256,4.3220,14.8845,4.3220,4.2945,0.021138
Fluorite_1039.jpeg,212,5.5480,5.8422,5.5480,5.5222,0.019789
Fluorite_104.jpeg,179,1.7202,4.4978,1.7202,1.2248,0.019580
Fluorite_1040.jpeg,256,5.9213,9.4019,5.9213,5.8580,0.020597
Fluorite_1041.jpeg,256,5.2930,12.8558,5.2930,5.2455,0.020415
Fluorite_1042.jpeg,256,6.0197,8.1615,6.0197,5.9835,0.019040
Fluorite_1043.jpeg,256,5.6722,7.6823,5.6722,5.6297,0.020612
Fluorite_1044.jpeg,256,5.8386,14.5913,5.8386,5.7796,0.020458
Fluorite_1045.jpeg,256,6.0843,8.1980,6.0843,6.0575,0.015095
Fluorite_1046.jpeg,256,4.7208,14.1782,4.7208,4.7116,0.025484
Fluorite_1047.jpeg,256,5.1481,15.0380,5.1481,5.1284,0.020295
Fluorite_1048.jpeg,256,4.9232,15.3859,4.9232,4.9071,0.023283
Fluorite_1049.jpeg,256,4.2777,12.7839,4.2777,4.2653,0.016485
Fluorite_105.jpeg,241,2.1510,7.1841,2.1510,1.7840,0.019385
Fluorite_1050.jpeg,256,5.7509,8.1906,5.7509,5.7080,0.009072
Fluorite_1051.jpeg,256,5.8342,8.7392,5.8342,5.7816,0.018870
Fluorite_1052.jpeg,256,3.1944,11.7893,3.1944,3.0659,0.018104
Fluorite_1053.jpeg,250,6.3773,7.3231,6.3773,6.3539,0.018171
Fluorite_1054.jpeg,256,6.8677,7.0983,6.8677,6.8437,0.021142
Fluorite_1055.jpeg,256,6.5334,7.6127,6.5334,6.5145,0.019709
Fluorite_1056.jpeg,245,5.8525,8.0825,5.8525,5.8064,0.023193
Fluorite_1057.jpeg,256,6.8082,6.9933,6.8082,6.7729,0.016972
Fluorite_1058.jpeg,256,6.6537,7.1251,6.6537,6.6330,0.020058
Fluorite_1059.jpeg,256,5.4354,15.2580,5.4354,5.4022,0.029006
Fluorite_106.jpeg,222,2.0861,6.6495,2.0861,1.7080,0.020521
Fluorite_1060.jpeg,256,6.8713,4.6077,6.8713,6.8286,0.020509
Fluorite_1061.jpeg,246,4.8328,13.6635,4.8328,4.8085,0.019505
Fluorite_1062.jpeg,240,6.9996,6.0484,6.9996,6.9685,0.019858
Fluorite_1063.jpeg,250,5.9905,8.4801,5.9905,5.9414,0.011363
Fluorite_1064.jpeg,252,6.1195,8.7565,6.1195,6.0730,0.020110
Fluorite_1065.jpeg,256,7.6000,1.7168,7.6000,7.5651,0.021223
Fluorite_1066.jpeg,243,6.2852,8.0247,6.2852,6.2544,0.019764
Fluorite_1067.jpeg,255,6.8224,7.0277,6.8224,6.7908,0.029128
Fluorite_1068.jpeg,256,7.2570,3.7005,7.2570,7.2258,0.019068
Fluorite_1069.jpeg,255,6.9577,3.4716,6.9577,6.9353,0.020732
Fluorite_107.jpeg,256,4.6789,15.0459,4.6789,4.6624,0.020382
Fluorite_1070.jpeg,256,7.0821,6.4929,7.0821,7.0491,0.019743
Fluorite_1071.jpeg,253,6.9981,3.4789,6.9981,6.9707,0.011207
Fluorite_1072.jpeg,239,7.4729,0.9227,7.4729,7.4396,0.019061
Fluorite_1073.jpeg,256,6.7727,7.5466,6.7727,6.7522,0.019140
