image_name,number_symbols,average_length,variance_length,bits_per_pixel,entropy,compression_time
Malachite_0.jpeg,256,7.6101,1.5749,7.6101,7.5788,0.017519
Malachite_1.jpeg,215,6.0546,5.9810,6.0546,6.0285,0.021589
Malachite_10.jpeg,256,6.0995,8.9726,6.0995,6.0530,0.018273
Malachite_100.jpeg,256,7.9817,0.2033,7.9817,7.9480,0.019229
Malachite_1000.jpeg,234,3.7612,12.8977,3.7612,3.7092,0.021743
Malachite_1001.jpeg,256,6.2680,8.0966,6.2680,6.2459,0.022666
Malachite_1002.jpeg,256,5.8977,14.7447,5.8977,5.8369,0.018003
Malachite_1003.jpeg,255,5.9079,9.1495,5.9079,5.8452,0.020034
Malachite_1004.jpeg,256,5.1160,15.5188,5.1160,5.0927,0.019264
Malachite_1005.jpeg,256,6.9577,6.3525,6.9577,6.9065,0.019473
Malachite_1006.jpeg,256,7.5337,0.8900,7.5337,7.5052,0.019409
Malachite_1007.jpeg,256,7.7972,0.6182,7.7972,7.7670,0.029771
Malachite_1008.jpeg,256,6.9027,6.7420,6.9027,6.8716,0.030014
Malachite_1009.jpeg,256,6.2332,8.7740,6.2332,6.1947,0.022937
Malachite_101.jpeg,256,4.9252,14.6790,4.9252,4.9136,0.019025
Malachite_1010.jpeg,256,7.3837,3.2684,7.3837,7.3525,0.021214
Malachite_1011.jpeg,225,4.5993,14.0634,4.5993,4.5804,0.021020
Malachite_1012.jpeg,256,7.7054,0.9696,7.7054,7.6811,0.019088
Malachite_1013.jpeg,252,7.3046,3.1873,7.3046,7.2650,0.023981
Malachite_1014.jpeg,256,7.2323,3.5347,7.2323,7.1914,0.023346
Malachite_1015.jpeg,256,5.0080,15.1940,5.0080,4.9934,0.020106
Malachite_1016.jpeg,249,6.5761,7.0855,6.5761,6.5433,0.020222
Malachite_1017.jpeg,224,7.1232,3.0628,7.1232,7.0847,0.019411
Malachite_1018.jpeg,246,5.1167,14.4385,5.1167,5.0887,0.025019
Malachite_1019.jpeg,246,4.7311,13.6791,4.7311,4.7159,0.021004
Malachite_102.jpeg,251,7.0424,3.8146,7.0424,7.0091,0.022042
Malachite_1020.jpeg,241,6.5062,6.6068,6.5062,6.4820,0.022026
Malachite_1021.jpeg,254,7.0928,3.9081,7.0928,7.0496,0.017993
Malachite_1022.jpeg,204,3.3485,11.3641,3.3485,3.2568,0.019562
Malachite_1023.jpeg,255,7.3973,2.6461,7.3973,7.3545,0.022124
Malachite_1024.jpeg,256,6.7583,4.0788,6.7583,6.7207,0.018804
Malachite_1025.jpeg,229,5.0764,12.5085,5.0764,5.0399,0.020034
Malachite_1026.jpeg,240,7.1931,2.5667,7.1931,7.1586,0.018078
