image_name,number_symbols,average_length,variance_length,bits_per_pixel,entropy,compression_time
Pyrite_0.jpeg,256,6.5745,7.3370,6.5745,6.5517,0.022038
Pyrite_1.jpeg,256,6.6398,7.5716,6.6398,6.6126,0.019010
Pyrite_10.jpeg,255,5.4479,14.0203,5.4479,5.4026,0.020045
Pyrite_100.jpeg,255,6.3977,6.7933,6.3977,6.3759,0.017992
Pyrite_1000.jpeg,256,5.1125,14.8428,5.1125,5.0952,0.017996
Pyrite_1001.jpeg,256,7.5575,0.8641,7.5575,7.5294,0.018890
Pyrite_1002.jpeg,256,6.1202,9.2066,6.1202,6.0782,0.022009
Pyrite_1003.jpeg,256,6.2050,9.1591,6.2050,6.1527,0.019067
Pyrite_1004.jpeg,254,5.0383,15.4577,5.0383,5.0152,0.018462
Pyrite_1005.jpeg,256,5.3417,15.0604,5.3417,5.3128,0.017971
Pyrite_1006.jpeg,256,7.5353,1.1887,7.5353,7.4989,0.019085
Pyrite_1007.jpeg,256,6.5083,7.6540,6.5083,6.4843,0.019036
Pyrite_1008.jpeg,242,5.9422,7.1615,5.9422,5.9134,0.017000
Pyrite_1009.jpeg,256,4.7549,14.8854,4.7549,4.7424,0.019996
Pyrite_101.jpeg,256,6.4192,8.0398,6.4192,6.3929,0.018052
Pyrite_1010.jpeg,256,5.5024,14.4515,5.5024,5.4588,0.017110
Pyrite_1011.jpeg,256,5.2701,15.0188,5.2701,5.2468,0.019019
Pyrite_1012.jpeg,256,4.7033,15.6912,4.7033,4.6894,0.021008
Pyrite_1013.jpeg,256,7.0176,3.9853,7.0176,6.9859,0.020060
Pyrite_1014.jpeg,256,7.4798,1.4058,7.4798,7.4598,0.019009
Pyrite_1015.jpeg,256,6.8187,6.7536,6.8187,6.7834,0.019029
Pyrite_1016.jpeg,256,6.1758,9.2116,6.1758,6.1336,0.017988
Pyrite_1017.jpeg,256,6.1571,8.5560,6.1571,6.1154,0.021030
Pyrite_1018.jpeg,256,7.0811,6.3427,7.0811,7.0536,0.017996
Pyrite_1019.jpeg,256,7.3885,2.0675,7.3885,7.3477,0.017988
Pyrite_102.jpeg,256,5.1882,14.7287,5.1882,5.1671,0.020019
Pyrite_1020.jpeg,256,7.4247,2.8495,7.4247,7.3961,0.018010
Pyrite_1021.jpeg,255,7.1237,1.6161,7.1237,7.0904,0.020008
Pyrite_1022.jpeg,256,6.7475,7.7601,6.7475,6.7229,0.021981
Pyrite_1023.jpeg,233,6.4813,7.2872,6.4813,6.4560,0.019997
Pyrite_1024.jpeg,256,5.6507,14.6722,5.6507,5.6012,0.019005
Pyrite_1025.jpeg,256,4.8806,15.5062,4.8806,4.8662,0.019996
Pyrite_1026.jpeg,256,7.7313,1.3691,7.7313,7.6964,0.019997
Pyrite_1027.jpeg,256,5.5138,14.6443,5.5138,5.4662,0.020019
Pyrite_1028.jpeg,256,5.3840,14.4334,5.3840,5.3464,0.019085
Pyrite_1029.jpeg,250,7.4917,0.7756,7.4917,7.4699,0.017012
Pyrite_103.jpeg,225,6.2464,2.9730,6.2464,6.2215,0.021105
Pyrite_1030.jpeg,254,6.5058,6.7822,6.5058,6.4758,0.018982
Pyrite_1031.jpeg,235,7.2280,1.3532,7.2280,7.2064,0.018597
Pyrite_1032.jpeg,256,3.8452,14.3679,3.8452,3.7793,0.018152
