image_name,number_symbols,average_length,variance_length,bits_per_pixel,entropy,compression_time
Pyromorphite_0.jpeg,256,6.4305,8.0827,6.4305,6.4038,0.048690
Pyromorphite_1.jpeg,256,7.0866,3.8669,7.0866,7.0454,0.050230
Pyromorphite_10.jpeg,256,6.3454,7.8639,6.3454,6.3215,0.051188
Pyromorphite_100.jpeg,256,7.9542,0.3533,7.9542,7.9169,0.051176
Pyromorphite_1000.jpeg,255,7.5436,1.3802,7.5436,7.5104,0.051334
Pyromorphite_1001.jpeg,256,7.4128,1.7050,7.4128,7.3866,0.052124
Pyromorphite_1002.jpeg,256,6.1170,8.6226,6.1170,6.0733,0.049170
Pyromorphite_1003.jpeg,256,7.2128,3.8171,7.2128,7.1819,0.049012
Pyromorphite_1004.jpeg,256,7.0392,4.1268,7.0392,7.0013,0.049576
Pyromorphite_1005.jpeg,256,7.0671,3.8780,7.0671,7.0346,0.049515
Pyromorphite_1006.jpeg,256,6.2895,8.6325,6.2895,6.2537,0.050040
Pyromorphite_1007.jpeg,228,6.2660,6.2420,6.2660,6.2362,0.050568
Pyromorphite_1008.jpeg,256,6.8722,6.2386,6.8722,6.8301,0.050086
Pyromorphite_1009.jpeg,242,7.2189,1.3018,7.2189,7.1818,0.051152
Pyromorphite_101.jpeg,255,6.3297,3.8682,6.3297,6.2985,0.051372
Pyromorphite_1010.jpeg,256,6.1160,8.3688,6.1160,6.0851,0.052131
Pyromorphite_1011.jpeg,256,6.2474,7.9104,6.2474,6.2276,0.051262
Pyromorphite_1012.jpeg,256,7.0674,3.8091,7.0674,7.0392,0.052180
Pyromorphite_1013.jpeg,256,7.6028,1.7151,7.6028,7.5740,0.052360
Pyromorphite_1014.jpeg,256,7.1539,3.7232,7.1539,7.1308,0.051000
Pyromorphite_1015.jpeg,256,7.1140,4.0076,7.1140,7.0741,0.050334
Pyromorphite_1016.jpeg,256,7.2267,3.4334,7.2267,7.2021,0.050455
Pyromorphite_1017.jpeg,256,5.0936,14.9529,5.0936,5.0760,0.050991
Pyromorphite_1018.jpeg,256,3.5518,13.4164,3.5518,3.4641,0.051106
Pyromorphite_1019.jpeg,256,7.2660,3.6820,7.2660,7.2330,0.053098
Pyromorphite_102.jpeg,255,4.9324,14.1816,4.9324,4.9108,0.051112
Pyromorphite_1020.jpeg,256,7.9231,0.2874,7.9231,7.8941,0.050375
Pyromorphite_1021.jpeg,255,6.5772,7.7637,6.5772,6.5515,0.051626
Pyromorphite_1022.jpeg,256,6.1664,7.9049,6.1664,6.1327,0.050993
Pyromorphite_1023.jpeg,256,5.0007,14.1190,5.0007,4.9760,0.050998
Pyromorphite_1024.jpeg,256,5.6990,13.9785,5.6990,5.6321,0.057068
Pyromorphite_1025.jpeg,237,4.0005,13.0481,4.0005,3.9717,0.049527
Pyromorphite_1026.jpeg,256,5.4068,14.2528,5.4068,5.3623,0.050022
Pyromorphite_1027.jpeg,256,7.4473,1.8914,7.4473,7.4204,0.051238
Pyromorphite_1028.jpeg,256,7.2719,1.7979,7.2719,7.2383,0.051241
Pyromorphite_1029.jpeg,256,3.8410,14.2422,3.8410,3.7821,0.050214
Pyromorphite_103.jpeg,220,3.9742,12.0941,3.9742,3.9556,0.050976
Pyromorphite_1030.jpeg,254,7.4990,1.4733,7.4990,7.4686,0.050347
Pyromorphite_1031.jpeg,256,6.0250,8.9216,6.0250,5.9780,0.049997
Pyromorphite_1032.jpeg,256,5.9372,8.3397,5.9372,5.8968,0.050996
Pyromorphite_1033.jpeg,255,6.3515,7.4778,6.3515,6.3200,0.051999
Pyromorphite_1034.jpeg,256,7.6469,1.4545,7.6469,7.6216,0.050000
Pyromorphite_1035.jpeg,256,4.9764,14.6808,4.9764,4.9611,0.049993
Pyromorphite_1036.jpeg,256,6.2360,7.8117,6.2360,6.2033,0.050360
Pyromorphite_1037.jpeg,249,6.8769,2.8030,6.8769,6.8380,0.050397
Pyromorphite_1038.jpeg,256,6.1099,8.5677,6.1099,6.0746,0.051154
Pyromorphite_1039.jpeg,252,7.0218,1.2357,7.0218,6.9873,0.052508
Pyromorphite_104.jpeg,239,6.5644,2.9518,6.5644,6.5389,0.053183
Pyromorphite_1040.jpeg,243,5.6523,7.8615,5.6523,5.5994,0.050671
Pyromorphite_1041.jpeg,256,7.6654,0.7297,7.6654,7.6453,0.050002
Pyromorphite_1042.jpeg,256,5.6011,8.5994,5.6011,5.5320,0.051404
Pyromorphite_1043.jpeg,256,6.5642,7.2851,6.5642,6.5465,0.050567
Pyromorphite_1044.jpeg,256,5.4339,15.0744,5.4339,5.3957,0.050716
Pyromorphite_1045.jpeg,256,7.3632,2.9277,7.3632,7.3312,0.050629
Pyromorphite_1046.jpeg,1,0.0000,0.0000,0.0000,-0.0000,0.046774
Pyromorphite_1047.jpeg,252,5.6311,6.9237,5.6311,5.5947,0.051520
Pyromorphite_1048.jpeg,255,4.7484,14.0734,4.7484,4.7338,0.050997
Pyromorphite_1049.jpeg,256,5.8334,13.9566,5.8334,5.7656,0.048994
Pyromorphite_105.jpeg,220,6.8798,1.6393,6.8798,6.8569,0.051167
Pyromorphite_1050.jpeg,207,3.7222,11.8697,3.7222,3.6756,0.050060
Pyromorphite_1051.jpeg,249,7.4410,0.7353,7.4410,7.4224,0.050215
Pyromorphite_1052.jpeg,256,5.7494,8.2519,5.7494,5.6972,0.052999
Pyromorphite_1053.jpeg,253,6.2584,8.0193,6.2584,6.2264,0.051250
Pyromorphite_1054.jpeg,256,5.4574,14.1708,5.4574,5.4206,0.052115
Pyromorphite_1055.jpeg,239,6.8727,3.3721,6.8727,6.8453,0.051993
Pyromorphite_1056.jpeg,204,6.6633,1.7099,6.6633,6.6408,0.050686
Pyromorphite_1057.jpeg,256,5.7310,14.7682,5.7310,5.6768,0.051993
Pyromorphite_1058.jpeg,256,6.9109,4.1171,6.9109,6.8762,0.050004
Pyromorphite_1059.jpeg,249,7.5676,0.5556,7.5676,7.5363,0.049999
Pyromorphite_106.jpeg,256,6.8778,6.8521,6.8778,6.8417,0.051009
Pyromorphite_1060.jpeg,256,6.1209,8.9754,6.1209,6.0728,0.050998
Pyromorphite_1061.jpeg,255,5.5436,15.0890,5.5436,5.5006,0.050000
