image_name,number_symbols,average_length,variance_length,bits_per_pixel,entropy,compression_time
Quartz_0.jpeg,256,3.2665,11.5212,3.2665,3.1655,0.018727
Quartz_1.jpeg,256,4.7700,15.4721,4.7700,4.7545,0.024385
Quartz_10.jpeg,256,6.4763,6.3289,6.4763,6.4364,0.016976
Quartz_100.jpeg,256,5.1439,14.4622,5.1439,5.1171,0.022629
Quartz_1000.jpeg,256,6.9464,6.4181,6.9464,6.9104,0.020078
Quartz_1001.jpeg,256,6.2213,7.8504,6.2213,6.1989,0.012113
Quartz_1002.jpeg,248,5.7218,15.0047,5.7218,5.6688,0.019203
Quartz_1003.jpeg,256,3.6910,13.4998,3.6910,3.6258,0.018878
Quartz_1004.jpeg,206,3.8239,12.8086,3.8239,3.7731,0.019533
Quartz_1005.jpeg,251,4.8154,15.0487,4.8154,4.7983,0.021526
Quartz_1006.jpeg,253,4.2048,13.6308,4.2048,4.1848,0.022991
Quartz_1007.jpeg,247,4.5207,13.8206,4.5207,4.5009,0.017807
Quartz_1008.jpeg,237,6.1797,6.4937,6.1797,6.1495,0.027753
Quartz_1009.jpeg,251,3.4928,12.4443,3.4928,3.4220,0.020248
Quartz_101.jpeg,256,6.2313,7.8981,6.2313,6.2137,0.020839
Quartz_1010.jpeg,245,5.2790,14.3025,5.2790,5.2473,0.023610
Quartz_1011.jpeg,256,6.1453,8.2609,6.1453,6.1169,0.015122
Quartz_1012.jpeg,256,4.9913,13.5694,4.9913,4.9685,0.012045
Quartz_1013.jpeg,256,5.4299,14.5843,5.4299,5.3915,0.020619
Quartz_1014.jpeg,251,5.9435,8.2215,5.9435,5.9016,0.019025
Quartz_1015.jpeg,249,7.0182,3.2510,7.0182,6.9941,0.022325
Quartz_1016.jpeg,256,4.6973,15.5800,4.6973,4.6727,0.018519
Quartz_1017.jpeg,231,6.1368,5.9992,6.1368,6.1072,0.023127
Quartz_1018.jpeg,256,2.6672,10.3296,2.6672,2.4347,0.015044
Quartz_1019.jpeg,250,6.2812,7.7955,6.2812,6.2589,0.012041
Quartz_102.jpeg,256,5.9708,9.4391,5.9708,5.9094,0.020092
Quartz_1020.jpeg,256,5.8604,9.1382,5.8604,5.8050,0.021104
Quartz_1021.jpeg,256,5.0460,13.6258,5.0460,5.0194,0.023130
Quartz_1022.jpeg,256,6.2007,8.4909,6.2007,6.1677,0.016046
Quartz_1023.jpeg,256,6.9295,3.6353,6.9295,6.9093,0.012092
Quartz_1024.jpeg,253,6.8738,2.5068,6.8738,6.8421,0.014074
Quartz_1025.jpeg,235,6.0646,6.8875,6.0646,6.0356,0.019757
Quartz_1026.jpeg,242,2.8570,9.9355,2.8570,2.6845,0.019800
Quartz_1027.jpeg,254,5.0730,14.1637,5.0730,5.0469,0.020619
Quartz_1028.jpeg,217,4.7278,13.3196,4.7278,4.7101,0.018749
Quartz_1029.jpeg,254,5.5074,14.3032,5.5074,5.4636,0.019732
Quartz_103.jpeg,256,4.2031,14.9768,4.2031,4.1698,0.020077
Quartz_1030.jpeg,256,6.2732,7.9033,6.2732,6.2380,0.018206
Quartz_1031.jpeg,225,3.0626,10.6879,3.0626,2.9304,0.019642
Quartz_1032.jpeg,227,3.6648,12.3733,3.6648,3.6032,0.020303
Quartz_1033.jpeg,256,3.2415,12.4673,3.2415,3.1063,0.018890
Quartz_1034.jpeg,229,3.0486,11.3865,3.0486,2.8864,0.019118
Quartz_1035.jpeg,250,3.1484,11.8278,3.1484,3.0084,0.024081
Quartz_1036.jpeg,255,3.2826,12.0452,3.2826,3.1680,0.021786
Quartz_1037.jpeg,253,4.1379,13.7177,4.1379,4.1132,0.016969
Quartz_1038.jpeg,256,6.0526,8.7481,6.0526,6.0007,0.019571
Quartz_1039.jpeg,256,4.9409,13.9471,4.9409,4.9210,0.022007
Quartz_104.jpeg,256,3.6150,12.9721,3.6150,3.5436,0.022978
Quartz_1040.jpeg,256,5.9952,8.7700,5.9952,5.9469,0.019013
Quartz_1041.jpeg,256,6.4286,8.3358,6.4286,6.4031,0.020010
Quartz_1042.jpeg,254,3.9296,13.4553,3.9296,3.8871,0.020019
Quartz_1043.jpeg,255,5.3182,13.1364,5.3182,5.2714,0.019999
Quartz_1044.jpeg,253,5.7292,8.5649,5.7292,5.6705,0.017998
Quartz_1045.jpeg,247,6.3710,7.7783,6.3710,6.3461,0.018001
Quartz_1046.jpeg,256,6.2278,6.5596,6.2278,6.1941,0.018514
Quartz_1047.jpeg,256,5.1247,14.3158,5.1247,5.0932,0.022000
Quartz_1048.jpeg,256,7.4425,2.2268,7.4425,7.4167,0.018992
Quartz_1049.jpeg,255,5.5664,13.3057,5.5664,5.4987,0.019016
Quartz_105.jpeg,252,3.2417,11.4290,3.2417,3.1326,0.019054
Quartz_1050.jpeg,256,6.3534,8.3458,6.3534,6.3241,0.017986
