image_name,number_symbols,average_length,variance_length,bits_per_pixel,entropy,compression_time
Wulfenite_0.jpeg,256,6.5216,7.7619,6.5216,6.4989,0.050950
Wulfenite_1.jpeg,256,5.8192,8.3366,5.8192,5.7714,0.058846
Wulfenite_10.jpeg,256,6.3919,7.8834,6.3919,6.3679,0.048878
Wulfenite_100.jpeg,256,6.6496,8.0053,6.6496,6.6315,0.042119
Wulfenite_1000.jpeg,256,6.9424,6.3841,6.9424,6.9042,0.051343
Wulfenite_1001.jpeg,256,6.7369,7.2784,6.7369,6.7128,0.058301
Wulfenite_1002.jpeg,253,7.1726,1.5185,7.1726,7.1395,0.052805
Wulfenite_1003.jpeg,253,5.6479,15.1702,5.6479,5.5995,0.049770
Wulfenite_1004.jpeg,256,6.8036,3.9943,6.8036,6.7691,0.058995
Wulfenite_1005.jpeg,237,4.5068,12.0015,4.5068,4.4970,0.054231
Wulfenite_1006.jpeg,245,6.5077,3.0543,6.5077,6.4781,0.053069
Wulfenite_1007.jpeg,256,5.6665,15.2297,5.6665,5.6189,0.052148
Wulfenite_1008.jpeg,256,6.8484,6.7310,6.8484,6.8223,0.051998
Wulfenite_1009.jpeg,247,5.4113,13.7535,5.4113,5.3718,0.051028
Wulfenite_101.jpeg,256,6.4313,7.8001,6.4313,6.4061,0.050311
Wulfenite_1010.jpeg,255,6.1321,7.8277,6.1321,6.1082,0.053561
Wulfenite_1011.jpeg,244,5.4481,14.2987,5.4481,5.4065,0.053077
Wulfenite_1012.jpeg,241,5.2996,7.0457,5.2996,5.2404,0.052092
Wulfenite_1013.jpeg,231,5.7568,7.1001,5.7568,5.7307,0.054989
Wulfenite_1014.jpeg,254,6.0289,7.4713,6.0289,6.0054,0.051017
Wulfenite_1015.jpeg,247,5.5443,7.1872,5.5443,5.5069,0.051040
Wulfenite_1016.jpeg,234,6.7210,3.6992,6.7210,6.6837,0.049191
Wulfenite_1017.jpeg,256,6.9529,6.8568,6.9529,6.9177,0.049248
Wulfenite_1018.jpeg,255,6.5346,6.3672,6.5346,6.5055,0.059633
Wulfenite_1019.jpeg,256,5.8690,8.9056,5.8690,5.8163,0.050798
Wulfenite_102.jpeg,256,6.4733,7.9025,6.4733,6.4476,0.053445
Wulfenite_1020.jpeg,255,5.8163,7.4610,5.8163,5.7841,0.055522
Wulfenite_1021.jpeg,256,6.4399,7.9483,6.4399,6.4161,0.052270
Wulfenite_1022.jpeg,256,6.1845,7.9654,6.1845,6.1597,0.050130
Wulfenite_1023.jpeg,256,4.8690,14.4259,4.8690,4.8480,0.053163
Wulfenite_1024.jpeg,238,5.5735,12.9051,5.5735,5.5060,0.066995
Wulfenite_1025.jpeg,254,4.5994,14.4074,4.5994,4.5849,0.050135
Wulfenite_1026.jpeg,256,6.4971,7.2956,6.4971,6.4718,0.050214
Wulfenite_1027.jpeg,256,5.9407,8.8285,5.9407,5.8806,0.049537
Wulfenite_1028.jpeg,256,6.3715,7.3174,6.3715,6.3563,0.049684
Wulfenite_1029.jpeg,256,6.6462,7.3596,6.6462,6.6264,0.049794
Wulfenite_103.jpeg,256,6.3679,6.9422,6.3679,6.3504,0.051831
Wulfenite_1030.jpeg,256,7.7886,0.6979,7.7886,7.7595,0.051069
Wulfenite_1031.jpeg,250,5.4591,14.0021,5.4591,5.4100,0.053042
Wulfenite_1032.jpeg,253,7.1006,3.3182,7.1006,7.0740,0.052601
Wulfenite_1033.jpeg,256,7.3188,3.2599,7.3188,7.2871,0.051369
Wulfenite_1034.jpeg,240,6.6787,3.5867,6.6787,6.6374,0.053082
Wulfenite_1035.jpeg,256,5.2227,14.5865,5.2227,5.1945,0.054004
Wulfenite_1036.jpeg,256,4.9990,15.5474,4.9990,4.9836,0.061540
Wulfenite_1037.jpeg,255,5.8198,8.6718,5.8198,5.7698,0.055997
Wulfenite_1038.jpeg,256,4.6768,15.4954,4.6768,4.6607,0.058004
Wulfenite_1039.jpeg,255,5.8205,8.3849,5.8205,5.7781,0.050989
Wulfenite_104.jpeg,229,6.3164,5.4520,6.3164,6.2673,0.051259
Wulfenite_1040.jpeg,256,5.6086,8.3621,5.6086,5.5459,0.050479
Wulfenite_1041.jpeg,256,7.2539,4.1013,7.2539,7.2080,0.051588
