image_name,total_runs,average_length,variance_length,bits_per_pixel,entropy,compression_time
Amethyst_0.jpeg,1575,41.6102,52185.7096,0.9613,3.6273,0.015146
Amethyst_1.jpeg,2491,26.3091,3979.7928,1.5204,3.3740,0.016202
Amethyst_10.jpeg,3291,19.9137,4759.4930,2.0087,3.4154,0.016073
Amethyst_100.jpeg,6015,10.8954,6425.7837,3.6713,3.1261,0.016651
Amethyst_1000.jpeg,1875,34.9525,18019.9972,1.1444,3.7342,0.014969
Amethyst_1001.jpeg,1967,33.3177,35421.0048,1.2006,3.4487,0.014994
Amethyst_1002.jpeg,2159,30.3548,21214.8107,1.3177,3.7088,0.014023
Amethyst_1003.jpeg,1983,33.0489,179491.6784,1.2103,3.5358,0.015320
Amethyst_1004.jpeg,1377,47.5933,555463.2972,0.8405,3.0853,0.015259
Amethyst_1005.jpeg,1609,40.7309,4094.9064,0.9821,3.8210,0.014983
Amethyst_1006.jpeg,2645,24.7773,5735.7791,1.6144,3.5169,0.014990
Amethyst_1007.jpeg,2155,30.4111,68926.5094,1.3153,3.0180,0.014137
Amethyst_1008.jpeg,1371,47.8016,95797.9329,0.8368,3.4603,0.014082
Amethyst_1009.jpeg,1911,34.2941,4033.1265,1.1664,3.6629,0.014050
Amethyst_101.jpeg,1327,49.3866,217006.3833,0.8099,3.5347,0.014734
Amethyst_1010.jpeg,2047,32.0156,3242.3583,1.2494,3.4422,0.014951
Amethyst_1011.jpeg,1685,38.8938,4148.1163,1.0284,3.9217,0.014970
Amethyst_1012.jpeg,3622,18.0939,51530.5853,2.2107,3.2167,0.015010
Amethyst_1013.jpeg,2805,23.3640,3011.0700,1.7120,3.3095,0.014992
Amethyst_1014.jpeg,2983,21.9698,10013.4956,1.8207,3.5160,0.017042
Amethyst_1015.jpeg,5007,13.0889,931.7031,3.0560,3.2620,0.016551
Amethyst_1016.jpeg,2647,24.7586,2210.3977,1.6156,3.1037,0.014193
Amethyst_1017.jpeg,2405,27.2499,10678.1400,1.4679,3.6663,0.014017
Amethyst_1018.jpeg,4285,15.2943,15941.2952,2.6154,3.1001,0.015999
Amethyst_1019.jpeg,1430,45.8294,151264.6059,0.8728,3.3371,0.017019
Amethyst_102.jpeg,1859,35.2534,3286.2881,1.1346,3.7666,0.015088
Amethyst_1020.jpeg,1753,37.3851,4273.4153,1.0699,3.7837,0.014139
Amethyst_1021.jpeg,1511,43.3726,3539.0597,0.9222,3.9390,0.014066
