image_name,total_runs,average_length,variance_length,bits_per_pixel,entropy,compression_time
Azurite_0.jpeg,1989,32.9492,3467.6349,1.2140,3.6156,0.013175
Azurite_1.jpeg,1639,39.9854,4240.5843,1.0004,3.9425,0.017299
Azurite_10.jpeg,1901,34.4745,4770.5471,1.1603,3.7605,0.015134
Azurite_100.jpeg,2718,24.1118,2457.5092,1.6589,3.4461,0.014824
Azurite_1000.jpeg,2207,29.6946,3257.1401,1.3470,3.5218,0.011756
Azurite_1001.jpeg,2069,31.6752,3269.8752,1.2628,3.6017,0.018285
Azurite_1002.jpeg,1937,33.8338,3412.1448,1.1823,3.5243,0.011381
Azurite_1003.jpeg,2799,23.4141,74719.1822,1.7084,2.9467,0.013573
Azurite_1004.jpeg,2153,30.4394,3072.7851,1.3141,3.5698,0.012430
Azurite_1005.jpeg,2225,29.4544,44940.6174,1.3580,3.3246,0.019677
Azurite_1006.jpeg,3016,21.7294,34073.1191,1.8408,3.0860,0.019618
Azurite_1007.jpeg,3241,20.2209,55442.0814,1.9781,2.9351,0.020429
Azurite_1008.jpeg,1693,38.7100,104241.3601,1.0333,3.1615,0.018443
Azurite_1009.jpeg,3363,19.4874,13775.0812,2.0526,3.1451,0.019880
Azurite_101.jpeg,4032,16.2540,2200.3080,2.4609,3.3015,0.015299
Azurite_1010.jpeg,5512,11.8897,1386.1000,3.3643,3.0440,0.009709
Azurite_1011.jpeg,2899,22.6064,51162.7575,1.7694,2.9370,0.011538
Azurite_1012.jpeg,1834,35.7339,190820.4755,1.1194,3.0699,0.014688
Azurite_1013.jpeg,4384,14.9489,1426.0663,2.6758,3.3286,0.016602
Azurite_1014.jpeg,1702,38.5053,223133.1407,1.0388,2.8431,0.010322
Azurite_1015.jpeg,1742,37.6211,72960.8989,1.0632,2.7284,0.015080
Azurite_1016.jpeg,7260,9.0270,385.2640,4.4312,3.1649,0.020345
Azurite_1017.jpeg,2482,26.4045,288762.2820,1.5149,3.0967,0.018507
Azurite_1018.jpeg,2028,32.3156,99795.5986,1.2378,2.9613,0.020849
Azurite_1019.jpeg,1436,45.6379,201784.5513,0.8765,2.5967,0.020482
Azurite_102.jpeg,2049,31.9844,45039.0861,1.2506,3.1231,0.019529
Azurite_1020.jpeg,2905,22.5597,19999.5483,1.7731,2.9059,0.020032
Azurite_1021.jpeg,3809,17.2056,2453.7222,2.3248,3.2105,0.018817
Azurite_1022.jpeg,3489,18.7836,1830.8970,2.1295,3.3693,0.019289
Azurite_1023.jpeg,2222,29.4941,23272.7504,1.3562,3.2370,0.008634
Azurite_1024.jpeg,1873,34.9899,3359.6011,1.1432,3.6064,0.009773
Azurite_1025.jpeg,1821,35.9890,3084.2876,1.1115,3.5191,0.012113
Azurite_1026.jpeg,2143,30.5814,3059.8803,1.3080,3.5950,0.018375
Azurite_1027.jpeg,1821,35.9890,3113.7440,1.1115,3.4655,0.010872
Azurite_1028.jpeg,1907,34.3660,64435.2074,1.1639,3.4212,0.010815
Azurite_1029.jpeg,2515,26.0581,9112.1294,1.5350,3.3686,0.020618
Azurite_103.jpeg,2233,29.3489,132557.1210,1.3629,3.2219,0.018703
Azurite_1030.jpeg,1693,38.7100,284617.8279,1.0333,3.1812,0.011355
Azurite_1031.jpeg,1707,38.3925,42658.3849,1.0419,3.7391,0.013183
Azurite_1032.jpeg,1983,33.0489,42528.1474,1.2103,3.4341,0.011856
Azurite_1033.jpeg,2251,29.1142,40699.2571,1.3739,3.2215,0.011309
Azurite_1034.jpeg,1951,33.5910,17512.7861,1.1908,3.5807,0.019546
Azurite_1035.jpeg,1709,38.3476,71949.9857,1.0431,3.4533,0.020774
Azurite_1036.jpeg,2849,23.0032,88976.1688,1.7389,2.9786,0.018370
Azurite_1037.jpeg,5375,12.1927,1082.1958,3.2806,3.1829,0.016513
Azurite_1038.jpeg,8308,7.8883,453.4476,5.0708,3.0203,0.020673
Azurite_1039.jpeg,2305,28.4321,63507.5825,1.4069,3.1559,0.010494
Azurite_104.jpeg,1137,57.6394,356310.7495,0.6940,3.2171,0.021157
Azurite_1040.jpeg,2182,30.0348,40769.3297,1.3318,3.1572,0.019309
Azurite_1041.jpeg,2205,29.7215,109917.8091,1.3458,2.8516,0.017745
Azurite_1042.jpeg,2349,27.8995,22312.9946,1.4337,3.1993,0.013069
Azurite_1043.jpeg,3049,21.4943,30144.3530,1.8610,2.9161,0.016303
Azurite_1044.jpeg,2401,27.2953,81170.6579,1.4655,2.8829,0.012651
Azurite_1045.jpeg,1914,34.2403,720535.9370,1.1682,2.9650,0.009808
Azurite_1046.jpeg,2561,25.5900,192555.5859,1.5631,2.8932,0.013663
Azurite_1047.jpeg,2115,30.9863,47239.5294,1.2909,3.1321,0.020118
Azurite_1048.jpeg,1052,62.2966,433716.6877,0.6421,3.0118,0.018927
Azurite_1049.jpeg,1700,38.5506,50000.4369,1.0376,3.5717,0.020174
Azurite_105.jpeg,4464,14.6810,3079.4999,2.7246,3.0477,0.009831
Azurite_1050.jpeg,2157,30.3829,4115.9832,1.3165,3.5665,0.011217
Azurite_1051.jpeg,2143,30.5814,23028.6120,1.3080,2.8314,0.013224
Azurite_1052.jpeg,2452,26.7276,24204.3287,1.4966,2.8076,0.009290
Azurite_1053.jpeg,2713,24.1563,64598.5469,1.6559,3.0304,0.011560
Azurite_1054.jpeg,2152,30.4535,956053.4142,1.3135,2.5830,0.014421
Azurite_1055.jpeg,2156,30.3970,35338.9296,1.3159,2.8142,0.010760
Azurite_1056.jpeg,1324,49.4985,183417.7893,0.8081,2.5550,0.018923
Azurite_1057.jpeg,460,142.4696,2706826.9621,0.2808,2.7653,0.019079
Azurite_1058.jpeg,721,90.8960,834537.0391,0.4401,2.7055,0.015651
Azurite_1059.jpeg,1384,47.3526,215956.0361,0.8447,2.9228,0.010981
Azurite_106.jpeg,2495,26.2669,26981.4374,1.5228,3.2032,0.012776
Azurite_1060.jpeg,2541,25.7914,6112.0116,1.5509,3.3560,0.022317
Azurite_1061.jpeg,3569,18.3626,21443.1361,2.1783,3.0127,0.025971
Azurite_1062.jpeg,2261,28.9854,3207.3386,1.3800,3.7619,0.016840
Azurite_1063.jpeg,1997,32.8172,3900.8424,1.2189,3.7283,0.018925
Azurite_1064.jpeg,2499,26.2249,69058.3336,1.5253,3.0274,0.019313
Azurite_1065.jpeg,2659,24.6469,35230.9422,1.6229,3.1974,0.019101
Azurite_1066.jpeg,1952,33.5738,658587.4198,1.1914,2.8723,0.009997
Azurite_1067.jpeg,1996,32.8337,55633.0204,1.2183,3.1976,0.011499
Azurite_1068.jpeg,2159,30.3548,10540.7477,1.3177,3.5291,0.010697
Azurite_1069.jpeg,1145,57.2367,1225266.2348,0.6989,2.9225,0.017469
Azurite_107.jpeg,3985,16.4457,29337.8847,2.4323,2.9264,0.016026
Azurite_1070.jpeg,5241,12.5045,6436.5850,3.1989,2.8721,0.015096
Azurite_1071.jpeg,2289,28.6308,3304.0503,1.3971,3.6611,0.015056
Azurite_1072.jpeg,3213,20.3971,23133.6948,1.9611,3.2454,0.014649
Azurite_1073.jpeg,1352,48.4734,104391.2552,0.8252,2.9120,0.015013
Azurite_1074.jpeg,2537,25.8321,22175.7637,1.5485,3.5135,0.015876
Azurite_1075.jpeg,2611,25.1000,12668.9280,1.5936,3.3517,0.016197
