image_name,total_runs,average_length,variance_length,bits_per_pixel,entropy,compression_time
Calcite_0.jpeg,3614,18.1339,15662.1647,2.2058,3.1247,0.008968
Calcite_1.jpeg,3135,20.9046,13353.1982,1.9135,3.2938,0.010057
Calcite_10.jpeg,2099,31.2225,118983.0991,1.2811,3.0989,0.009084
Calcite_100.jpeg,4179,15.6822,40316.2493,2.5507,2.9871,0.009976
Calcite_1000.jpeg,3585,18.2806,2058.0836,2.1881,3.1817,0.010009
Calcite_1001.jpeg,1933,33.9038,430615.5934,1.1798,3.0613,0.008998
Calcite_1002.jpeg,2336,28.0548,71097.9311,1.4258,3.1423,0.011047
Calcite_1003.jpeg,2072,31.6293,98673.1580,1.2646,3.3112,0.009010
Calcite_1004.jpeg,2807,23.3473,10159.8847,1.7133,3.2977,0.010997
Calcite_1005.jpeg,5476,11.9679,4248.3430,3.3423,3.0307,0.008996
Calcite_1006.jpeg,2892,22.6611,3484.1742,1.7651,3.3249,0.010999
Calcite_1007.jpeg,3085,21.2434,21213.7809,1.8829,3.1558,0.010999
Calcite_1008.jpeg,1965,33.3517,57126.9344,1.1993,3.4782,0.010003
Calcite_1009.jpeg,3009,21.7800,70613.7203,1.8365,3.2262,0.013994
Calcite_101.jpeg,2223,29.4809,105217.1970,1.3568,3.0873,0.008996
Calcite_1010.jpeg,2897,22.6220,24643.7015,1.7682,3.4129,0.010998
Calcite_1011.jpeg,1781,36.7973,78422.0224,1.0870,3.4374,0.012020
Calcite_1012.jpeg,2007,32.6537,111121.1721,1.2250,3.2228,0.009009
Calcite_1013.jpeg,3863,16.9651,42076.6151,2.3578,2.9096,0.012028
Calcite_1014.jpeg,2019,32.4596,163675.0072,1.2323,3.0547,0.011004
Calcite_1015.jpeg,2513,26.0788,3013.8879,1.5338,3.3917,0.011040
Calcite_1016.jpeg,2111,31.0450,10358.9070,1.2885,3.4230,0.010011
Calcite_1017.jpeg,5003,13.0993,1374.2050,3.0536,3.2645,0.010010
Calcite_1018.jpeg,6657,9.8447,904.2682,4.0631,3.0383,0.011000
Calcite_1019.jpeg,3283,19.9622,3612.3483,2.0038,3.3935,0.009939
Calcite_102.jpeg,5145,12.7378,1599.8961,3.1403,2.9633,0.009976
Calcite_1020.jpeg,5031,13.0264,11341.6850,3.0707,3.1029,0.010038
Calcite_1021.jpeg,2279,28.7565,412004.7169,1.3910,2.8519,0.009850
Calcite_1022.jpeg,2066,31.7212,49669.6212,1.2610,3.1154,0.010023
Calcite_1023.jpeg,2847,23.0193,41373.9866,1.7377,2.9027,0.009038
Calcite_1024.jpeg,2521,25.9960,27037.0361,1.5387,3.3410,0.008917
Calcite_1025.jpeg,2251,29.1142,39001.8977,1.3739,3.4382,0.011015
Calcite_1026.jpeg,1801,36.3887,10040.9594,1.0992,3.9300,0.012022
Calcite_1027.jpeg,2011,32.5888,62610.5693,1.2274,3.1221,0.011017
Calcite_1028.jpeg,3173,20.6543,2429.7062,1.9366,3.2986,0.011009
Calcite_1029.jpeg,1029,63.6890,1039522.5408,0.6281,3.0911,0.009988
Calcite_103.jpeg,2725,24.0499,4866.2184,1.6632,3.3935,0.011032
Calcite_1030.jpeg,1,65536.0000,0.0000,0.0006,-0.0000,0.009993
Calcite_1031.jpeg,5977,10.9647,866.5955,3.6481,3.1910,0.009996
Calcite_1032.jpeg,3470,18.8865,20731.0004,2.1179,3.0683,0.010009
Calcite_1033.jpeg,6356,10.3109,4961.8728,3.8794,3.0663,0.009995
Calcite_1034.jpeg,2441,26.8480,5661.9626,1.4899,3.3228,0.011509
Calcite_1035.jpeg,1333,49.1643,218107.8987,0.8136,3.4477,0.009060
Calcite_1036.jpeg,6173,10.6166,7912.9476,3.7677,2.8847,0.012018
Calcite_1037.jpeg,3763,17.4159,2508.0404,2.2968,3.2271,0.009995
Calcite_1038.jpeg,1765,37.1309,32823.5438,1.0773,3.4974,0.010490
Calcite_1039.jpeg,4428,14.8004,3275.3892,2.7026,2.9952,0.011049
Calcite_104.jpeg,2425,27.0252,15149.6954,1.4801,3.4167,0.009950
Calcite_1040.jpeg,5211,12.5765,1109.4393,3.1805,3.2322,0.010000
Calcite_1041.jpeg,8347,7.8514,569.4067,5.0946,2.9748,0.012019
Calcite_1042.jpeg,5797,11.3052,11406.3452,3.5382,3.0994,0.013016
Calcite_1043.jpeg,2603,25.1771,7858.9932,1.5887,3.3088,0.011019
Calcite_1044.jpeg,4761,13.7652,1215.5634,2.9059,3.0228,0.013039
Calcite_1045.jpeg,1983,33.0489,135850.7445,1.2103,3.0353,0.014019
Calcite_1046.jpeg,2235,29.3226,19977.7407,1.3641,3.3496,0.012037
Calcite_1047.jpeg,1809,36.2278,227229.1786,1.1041,3.0137,0.013010
Calcite_1048.jpeg,1637,40.0342,202816.1613,0.9991,3.2030,0.011021
Calcite_1049.jpeg,6253,10.4807,2798.6597,3.8165,2.9727,0.012022
Calcite_105.jpeg,3723,17.6030,3750.8491,2.2723,3.2463,0.011876
Calcite_1050.jpeg,3189,20.5506,7993.6736,1.9464,3.2937,0.011010
Calcite_1051.jpeg,2965,22.1032,46792.4872,1.8097,3.1572,0.011190
Calcite_1052.jpeg,3549,18.4660,43977.8268,2.1661,3.0799,0.009995
Calcite_1053.jpeg,3782,17.3284,2063.4564,2.3083,3.2916,0.010051
Calcite_1054.jpeg,1737,37.7294,68331.2129,1.0602,3.1797,0.012020
Calcite_1055.jpeg,2323,28.2118,17158.3469,1.4178,3.4287,0.011014
Calcite_1056.jpeg,3149,20.8117,29517.2091,1.9220,2.8553,0.012010
Calcite_1057.jpeg,1,65536.0000,0.0000,0.0006,-0.0000,0.012059
Calcite_1058.jpeg,1707,38.3925,80562.9977,1.0419,2.7489,0.009577
Calcite_1059.jpeg,1550,42.2813,477938.3067,0.9460,3.3982,0.010899
Calcite_106.jpeg,5101,12.8477,1339.8554,3.1134,3.1869,0.011019
Calcite_1060.jpeg,2449,26.7603,211997.2259,1.4948,3.3280,0.012900
Calcite_1061.jpeg,2351,27.8758,28134.3223,1.4349,3.3944,0.011037
Calcite_1062.jpeg,2097,31.2523,91013.4323,1.2799,3.3567,0.011022
Calcite_1063.jpeg,2256,29.0496,262708.5658,1.3770,2.7986,0.010062
Calcite_1064.jpeg,4900,13.3747,58751.4155,2.9907,2.8800,0.012016
