image_name,total_runs,average_length,variance_length,bits_per_pixel,entropy,compression_time
Copper_0.jpeg,3505,18.6979,8355.7709,2.1393,3.4302,0.019772
Copper_1.jpeg,2687,24.3900,2473.0611,1.6400,3.5253,0.010138
Copper_10.jpeg,1939,33.7989,68884.9755,1.1835,3.3614,0.009102
Copper_100.jpeg,735,89.1646,1656804.2083,0.4486,3.0623,0.010920
Copper_1000.jpeg,2091,31.3419,143595.1882,1.2762,3.4718,0.010015
Copper_1001.jpeg,2343,27.9710,2877.9437,1.4301,3.5880,0.011647
Copper_1002.jpeg,4933,13.2852,1091.8925,3.0109,3.3658,0.009502
Copper_1003.jpeg,4297,15.2516,2488.7650,2.6227,3.4881,0.011070
Copper_1004.jpeg,2267,28.9087,62644.2947,1.3837,3.3555,0.019032
Copper_1005.jpeg,1527,42.9181,268513.6298,0.9320,3.1300,0.010887
Copper_1006.jpeg,2535,25.8525,20942.0587,1.5472,3.4312,0.019052
Copper_1007.jpeg,1989,32.9492,269967.8853,1.2140,3.1139,0.010886
Copper_1008.jpeg,2821,23.2315,2135.8149,1.7218,3.5581,0.020347
Copper_1009.jpeg,2145,30.5529,7030.1390,1.3092,3.5494,0.008001
Copper_101.jpeg,1325,49.4611,159414.2560,0.8087,2.6500,0.019194
Copper_1010.jpeg,4127,15.8798,12185.4724,2.5189,3.3663,0.007988
Copper_1011.jpeg,2907,22.5442,2615.5146,1.7743,3.4109,0.011091
Copper_1012.jpeg,3367,19.4642,31890.3343,2.0551,3.3219,0.007829
Copper_1013.jpeg,3052,21.4731,30274.3502,1.8628,3.2721,0.007009
Copper_1014.jpeg,2903,22.5753,118518.1382,1.7719,3.1136,0.009905
Copper_1015.jpeg,1311,49.9893,143726.7978,0.8002,2.5039,0.011418
Copper_1016.jpeg,2092,31.3270,3796.9380,1.2769,3.6238,0.010197
Copper_1017.jpeg,2101,31.1928,42850.5821,1.2823,3.2728,0.011491
Copper_1018.jpeg,2361,27.7577,26901.7956,1.4410,3.3279,0.012440
Copper_1019.jpeg,2979,21.9993,18876.9077,1.8182,3.7208,0.009603
Copper_102.jpeg,5935,11.0423,1093.7322,3.6224,2.9961,0.020307
Copper_1020.jpeg,3915,16.7397,13369.2480,2.3895,3.0165,0.014011
Copper_1021.jpeg,2646,24.7680,11106.6332,1.6150,3.4974,0.014038
Copper_1022.jpeg,5217,12.5620,655.4304,3.1842,3.4989,0.011552
Copper_1023.jpeg,3884,16.8733,9361.0828,2.3706,2.9761,0.010206
Copper_1024.jpeg,2503,26.1830,2358.6066,1.5277,3.3655,0.009305
Copper_1025.jpeg,2395,27.3637,3070.9028,1.4618,3.5264,0.009932
Copper_1026.jpeg,2355,27.8285,23039.1468,1.4374,3.4224,0.009562
Copper_1027.jpeg,2375,27.5941,2712.1586,1.4496,3.4769,0.019940
Copper_1028.jpeg,2577,25.4311,2997.5825,1.5729,3.6880,0.009928
Copper_1029.jpeg,1962,33.4027,60773.6116,1.1975,3.3962,0.009066
Copper_103.jpeg,2965,22.1032,14480.0089,1.8097,3.4408,0.009967
Copper_1030.jpeg,2831,23.1494,223760.1349,1.7279,3.1155,0.020493
Copper_1031.jpeg,2935,22.3291,2443.4447,1.7914,3.4659,0.009684
Copper_1032.jpeg,2668,24.5637,164023.4034,1.6284,3.4098,0.020210
Copper_1033.jpeg,4128,15.8760,26410.3054,2.5195,3.2378,0.009511
Copper_1034.jpeg,2589,25.3132,49722.0514,1.5802,3.0376,0.019521
Copper_1035.jpeg,1625,40.3298,162050.6383,0.9918,3.1408,0.009491
Copper_1036.jpeg,629,104.1908,1371339.8269,0.3839,2.6695,0.012027
Copper_1037.jpeg,1494,43.8661,195287.4479,0.9119,3.5752,0.011164
