image_name,total_runs,average_length,variance_length,bits_per_pixel,entropy,compression_time
Fluorite_0.jpeg,2157,30.3829,14487.1153,1.3165,3.3986,0.008986
Fluorite_1.jpeg,2377,27.5709,8524.5167,1.4508,3.4225,0.011001
Fluorite_10.jpeg,1667,39.3137,244860.9052,1.0175,3.0013,0.011010
Fluorite_100.jpeg,1365,48.0117,575334.5068,0.8331,3.0937,0.009000
Fluorite_1000.jpeg,3067,21.3681,15120.5893,1.8719,3.3370,0.009009
Fluorite_1001.jpeg,3177,20.6283,2185.9748,1.9391,3.4122,0.010030
Fluorite_1002.jpeg,2021,32.4275,30363.7549,1.2335,3.3445,0.009006
Fluorite_1003.jpeg,2789,23.4980,7231.6068,1.7023,3.3056,0.008996
Fluorite_1004.jpeg,4551,14.4004,1273.8112,2.7777,3.4109,0.009998
Fluorite_1005.jpeg,3955,16.5704,1390.3755,2.4139,3.4111,0.008998
Fluorite_1006.jpeg,2127,30.8115,64585.7082,1.2982,3.2492,0.009048
Fluorite_1007.jpeg,2041,32.1098,43628.4338,1.2457,3.3441,0.009047
Fluorite_1008.jpeg,2275,28.8070,4023.1192,1.3885,3.5983,0.010017
Fluorite_1009.jpeg,3681,17.8039,22721.9023,2.2467,2.9692,0.010989
Fluorite_101.jpeg,1745,37.5564,241871.4434,1.0651,3.0064,0.009030
Fluorite_1010.jpeg,1567,41.8226,803989.5346,0.9564,2.8443,0.009901
Fluorite_1011.jpeg,2387,27.4554,58327.8718,1.4569,3.1448,0.008072
Fluorite_1012.jpeg,1811,36.1877,242030.0542,1.1053,3.0743,0.008930
Fluorite_1013.jpeg,1849,35.4440,120718.9175,1.1285,2.9709,0.009056
Fluorite_1014.jpeg,2401,27.2953,6366.9728,1.4655,3.3464,0.009010
Fluorite_1015.jpeg,2171,30.1870,104558.0019,1.3251,3.2023,0.008996
Fluorite_1016.jpeg,2537,25.8321,3546.0152,1.5485,3.5720,0.008998
Fluorite_1017.jpeg,1847,35.4824,111021.7592,1.1273,3.3543,0.008998
Fluorite_1018.jpeg,2705,24.2277,6294.9382,1.6510,3.3492,0.009998
Fluorite_1019.jpeg,1917,34.1868,96007.8285,1.1700,3.4307,0.008994
Fluorite_102.jpeg,5015,13.0680,2545.5242,3.0609,3.1324,0.008997
Fluorite_1020.jpeg,2097,31.2523,16556.4595,1.2799,3.3834,0.010998
Fluorite_1021.jpeg,3285,19.9501,2075.7771,2.0050,3.4002,0.008994
Fluorite_1022.jpeg,1891,34.6568,47031.7008,1.1542,3.3622,0.008994
Fluorite_1023.jpeg,1695,38.6643,204442.6383,1.0345,3.1793,0.008997
Fluorite_1024.jpeg,1942,33.7467,118582.4209,1.1853,3.3807,0.007998
Fluorite_1025.jpeg,2823,23.2150,12476.8872,1.7230,3.3276,0.008998
Fluorite_1026.jpeg,3704,17.6933,6813.7720,2.2607,2.9466,0.011000
Fluorite_1027.jpeg,4090,16.0235,56870.6415,2.4963,3.2297,0.010997
Fluorite_1028.jpeg,5341,12.2704,883.2671,3.2599,3.2393,0.008995
Fluorite_1029.jpeg,4779,13.7133,1265.2097,2.9169,3.1987,0.008965
Fluorite_103.jpeg,3833,17.0978,33571.5007,2.3395,3.0149,0.010027
Fluorite_1030.jpeg,7498,8.7405,465.4610,4.5764,3.1312,0.009994
Fluorite_1031.jpeg,4105,15.9649,3546.8270,2.5055,3.1083,0.010011
Fluorite_1032.jpeg,6013,10.8991,4488.9359,3.6700,3.0985,0.010030
Fluorite_1033.jpeg,5286,12.3980,27549.1072,3.2263,3.1458,0.011132
Fluorite_1034.jpeg,2427,27.0029,227719.0255,1.4813,2.8526,0.008992
Fluorite_1035.jpeg,1901,34.4745,48660.7628,1.1603,3.1085,0.010011
Fluorite_1036.jpeg,4831,13.5657,2082.6344,2.9486,2.8780,0.010010
Fluorite_1037.jpeg,2097,31.2523,3071.7413,1.2799,3.5297,0.010313
Fluorite_1038.jpeg,1917,34.1868,60950.1258,1.1700,3.2673,0.008998
Fluorite_1039.jpeg,1572,41.6896,4662.0767,0.9595,4.1794,0.008074
Fluorite_104.jpeg,2839,23.0842,261301.2529,1.7328,2.8867,0.009010
Fluorite_1040.jpeg,1865,35.1399,63067.4051,1.1383,3.3968,0.010007
Fluorite_1041.jpeg,2045,32.0469,27226.6413,1.2482,3.3931,0.007996
Fluorite_1042.jpeg,1287,50.9215,4417.7879,0.7855,3.8725,0.010000
Fluorite_1043.jpeg,1897,34.5472,82667.4813,1.1578,3.2724,0.009998
Fluorite_1044.jpeg,2229,29.4015,15526.9859,1.3605,3.3548,0.010001
Fluorite_1045.jpeg,1915,34.2225,51691.1046,1.1688,3.3332,0.008999
Fluorite_1046.jpeg,2627,24.9471,3251.0520,1.6034,3.3433,0.008074
Fluorite_1047.jpeg,2151,30.4677,8756.3401,1.3129,3.5028,0.009990
Fluorite_1048.jpeg,1815,36.1080,52077.6038,1.1078,3.6102,0.009029
Fluorite_1049.jpeg,2147,30.5245,2727.7883,1.3104,3.4484,0.011050
Fluorite_105.jpeg,2888,22.6925,167742.7330,1.7627,3.0539,0.009015
Fluorite_1050.jpeg,2007,32.6537,105629.2059,1.2250,3.2875,0.010053
Fluorite_1051.jpeg,1911,34.2941,60034.7393,1.1664,3.3517,0.010034
Fluorite_1052.jpeg,1737,37.7294,57973.8070,1.0602,3.6097,0.009441
Fluorite_1053.jpeg,2749,23.8399,108148.8205,1.6779,3.1557,0.009065
Fluorite_1054.jpeg,3307,19.8174,2445.7308,2.0184,3.3933,0.009010
Fluorite_1055.jpeg,2197,29.8298,86706.8759,1.3409,3.2207,0.007998
Fluorite_1056.jpeg,3601,18.1994,34349.9058,2.1979,2.9937,0.008998
Fluorite_1057.jpeg,2605,25.1578,3214.6396,1.5900,3.4581,0.008998
Fluorite_1058.jpeg,1693,38.7100,100265.5479,1.0333,3.6134,0.008995
Fluorite_1059.jpeg,5307,12.3490,1009.3404,3.2391,3.2315,0.008999
Fluorite_106.jpeg,1797,36.4697,5632.6297,1.0968,3.4303,0.008998
Fluorite_1060.jpeg,3121,20.9984,4143.5184,1.9049,3.1494,0.008997
Fluorite_1061.jpeg,2471,26.5221,2872.5215,1.5082,3.4564,0.009999
Fluorite_1062.jpeg,1729,37.9040,4732.1978,1.0553,3.8032,0.009006
Fluorite_1063.jpeg,2491,26.3091,2932.9225,1.5204,3.4252,0.008997
Fluorite_1064.jpeg,2951,22.2081,7877.4464,1.8011,3.3333,0.009997
Fluorite_1065.jpeg,2305,28.4321,13451.3482,1.4069,3.3736,0.009017
Fluorite_1066.jpeg,2179,30.0762,24170.5293,1.3300,3.3582,0.009000
Fluorite_1067.jpeg,4309,15.2091,1461.4492,2.6300,3.2997,0.009990
Fluorite_1068.jpeg,2609,25.1192,19437.2050,1.5924,3.1531,0.010002
Fluorite_1069.jpeg,2402,27.2839,92327.1692,1.4661,3.0062,0.010048
Fluorite_107.jpeg,7661,8.5545,550.3118,4.6759,3.1236,0.010009
Fluorite_1070.jpeg,3050,21.4872,2686.8111,1.8616,3.5511,0.012341
Fluorite_1071.jpeg,4534,14.4543,2731.6392,2.7673,3.2523,0.012065
Fluorite_1072.jpeg,5145,12.7378,3715.7989,3.1403,2.7278,0.010929
Fluorite_1073.jpeg,3022,21.6863,44999.2901,1.8445,2.6883,0.010041
Fluorite_1074.jpeg,6479,10.1151,680.4180,3.9545,3.1580,0.010975
Fluorite_1075.jpeg,1962,33.4027,393313.8664,1.1975,2.7738,0.009854
Fluorite_1076.jpeg,2901,22.5908,7047.0277,1.7706,3.2426,0.009989
Fluorite_1077.jpeg,2053,31.9221,149516.7382,1.2531,2.9291,0.009998
Fluorite_1078.jpeg,1619,40.4793,304723.6764,0.9882,3.0317,0.011031
Fluorite_1079.jpeg,2049,31.9844,123819.4336,1.2506,3.1353,0.009009
Fluorite_108.jpeg,2317,28.2849,23158.4385,1.4142,3.3710,0.007998
Fluorite_1080.jpeg,2355,27.8285,53948.2559,1.4374,2.8926,0.012846
Fluorite_1081.jpeg,1731,37.8602,5334.4184,1.0565,4.0552,0.011065
Fluorite_1082.jpeg,2125,30.8405,3768.1887,1.2970,3.7191,0.011051
Fluorite_1083.jpeg,3476,18.8539,3179.2232,2.1216,3.0434,0.009490
Fluorite_1084.jpeg,5011,13.0784,10942.4379,3.0585,3.1029,0.009009
Fluorite_1085.jpeg,2207,29.6946,80375.1029,1.3470,3.0287,0.009043
Fluorite_1086.jpeg,2317,28.2849,2846.6698,1.4142,3.4707,0.009358
Fluorite_1087.jpeg,1935,33.8687,110234.8272,1.1810,3.2052,0.008992
Fluorite_1088.jpeg,1840,35.6174,15316.0112,1.1230,3.7131,0.008009
Fluorite_1089.jpeg,2135,30.6960,53430.1207,1.3031,3.2241,0.009010
Fluorite_109.jpeg,2515,26.0581,284866.0610,1.5350,2.9905,0.010211
