image_name,total_runs,average_length,variance_length,bits_per_pixel,entropy,compression_time
Malachite_0.jpeg,2325,28.1875,20285.4496,1.4191,3.3463,0.011998
Malachite_1.jpeg,1769,37.0469,4298.8339,1.0797,4.1270,0.011073
Malachite_10.jpeg,1997,32.8172,113995.8389,1.2189,2.8920,0.011999
Malachite_100.jpeg,2585,25.3524,47885.8793,1.5778,2.6369,0.011995
Malachite_1000.jpeg,3279,19.9866,69965.5491,2.0013,3.3122,0.011997
Malachite_1001.jpeg,2120,30.9132,3299.6010,1.2939,3.5706,0.012991
Malachite_1002.jpeg,2543,25.7711,53182.7593,1.5521,3.3722,0.011993
Malachite_1003.jpeg,2369,27.6640,90268.1657,1.4459,3.2561,0.013110
Malachite_1004.jpeg,3463,18.9246,43261.1664,2.1136,3.2096,0.013023
Malachite_1005.jpeg,3833,17.0978,20318.4238,2.3395,3.0181,0.011915
Malachite_1006.jpeg,1410,46.4794,721881.4382,0.8606,2.4503,0.010999
Malachite_1007.jpeg,1189,55.1186,242993.9128,0.7257,2.6797,0.010994
Malachite_1008.jpeg,3068,21.3611,21622.6740,1.8726,3.2026,0.011990
Malachite_1009.jpeg,2381,27.5246,36283.0297,1.4532,3.4365,0.012005
Malachite_101.jpeg,2243,29.2180,51198.0394,1.3690,3.3387,0.011997
Malachite_1010.jpeg,1343,48.7982,568219.4373,0.8197,2.9321,0.010995
Malachite_1011.jpeg,1534,42.7223,323098.9437,0.9363,3.3522,0.012992
Malachite_1012.jpeg,3786,17.3101,4259.8949,2.3108,2.7930,0.015038
Malachite_1013.jpeg,2695,24.3176,3361.2646,1.6449,3.5206,0.012985
Malachite_1014.jpeg,1586,41.3216,204891.4464,0.9680,3.1215,0.012012
Malachite_1015.jpeg,2313,28.3338,3170.7170,1.4117,3.6212,0.011017
Malachite_1016.jpeg,2665,24.5914,22085.0814,1.6266,3.2590,0.011986
Malachite_1017.jpeg,2123,30.8695,88333.0348,1.2958,3.2082,0.010993
Malachite_1018.jpeg,8119,8.0719,509.9259,4.9554,2.9542,0.012047
Malachite_1019.jpeg,6971,9.4012,771.7189,4.2548,3.0013,0.012419
Malachite_102.jpeg,2031,32.2678,28687.6092,1.2396,3.2650,0.011127
Malachite_1020.jpeg,4376,14.9762,6307.8893,2.6709,3.0558,0.016966
Malachite_1021.jpeg,4491,14.5927,5899.1904,2.7411,3.1047,0.011097
Malachite_1022.jpeg,3203,20.4608,2617.5728,1.9550,3.3732,0.011080
Malachite_1023.jpeg,1892,34.6385,85108.9000,1.1548,3.4464,0.011673
Malachite_1024.jpeg,2204,29.7350,79191.7683,1.3452,3.2993,0.012039
Malachite_1025.jpeg,1915,34.2225,510292.3390,1.1688,2.6656,0.012096
Malachite_1026.jpeg,1834,35.7339,240686.3392,1.1194,2.8114,0.009441
Malachite_1027.jpeg,2968,22.0809,10368.0885,1.8115,3.1926,0.011254
Malachite_1028.jpeg,6227,10.5245,1600.1466,3.8007,2.9662,0.018681
Malachite_1029.jpeg,2832,23.1412,3002.8077,1.7285,3.5784,0.016011
Malachite_103.jpeg,1941,33.7640,225263.9804,1.1847,3.2412,0.007306
Malachite_1030.jpeg,3676,17.8281,5671.6913,2.2437,3.1187,0.016207
Malachite_1031.jpeg,3407,19.2357,38185.2667,2.0795,3.1150,0.007760
Malachite_1032.jpeg,3317,19.7576,18250.0564,2.0245,2.9985,0.006030
Malachite_1033.jpeg,4044,16.2057,3598.4067,2.4683,3.0356,0.012093
Malachite_1034.jpeg,3301,19.8534,107479.7410,2.0148,2.9743,0.009809
Malachite_1035.jpeg,4001,16.3799,2132.5225,2.4420,3.1700,0.020091
Malachite_1036.jpeg,4833,13.5601,1620.1955,2.9498,3.1700,0.007990
Malachite_1037.jpeg,2475,26.4792,22331.5166,1.5106,3.0544,0.009323
Malachite_1038.jpeg,1584,41.3737,80593.8149,0.9668,2.9085,0.012411
Malachite_1039.jpeg,2551,25.6903,7982.2295,1.5570,3.5932,0.008023
Malachite_104.jpeg,2376,27.5825,126069.7440,1.4502,2.7287,0.010611
Malachite_1040.jpeg,1933,33.9038,3303.5438,1.1798,3.7898,0.013235
Malachite_1041.jpeg,2482,26.4045,26876.3746,1.5149,2.8698,0.019220
Malachite_1042.jpeg,2866,22.8667,18751.0548,1.7493,3.4537,0.016034
Malachite_1043.jpeg,4799,13.6562,1690.9691,2.9291,3.1371,0.007151
Malachite_1044.jpeg,1712,38.2804,150246.0744,1.0449,2.8330,0.020995
Malachite_1045.jpeg,2065,31.7366,17349.3950,1.2604,3.5017,0.007994
Malachite_1046.jpeg,5644,11.6116,7859.6511,3.4448,3.0050,0.011939
Malachite_1047.jpeg,2469,26.5435,253808.9836,1.5070,2.8826,0.010317
Malachite_1048.jpeg,3520,18.6182,33238.4554,2.1484,3.1341,0.007540
Malachite_1049.jpeg,1149,57.0374,5261.7157,0.7013,3.9914,0.007351
Malachite_105.jpeg,4722,13.8789,1744.0243,2.8821,3.1149,0.012111
Malachite_1050.jpeg,2425,27.0252,3256.7165,1.4801,3.4984,0.011708
Malachite_1051.jpeg,1080,60.6815,325431.2374,0.6592,3.0523,0.007980
Malachite_1052.jpeg,2555,25.6501,5830.3754,1.5594,3.4261,0.011748
Malachite_1053.jpeg,2347,27.9233,5828.5838,1.4325,3.3347,0.009653
Malachite_1054.jpeg,2323,28.2118,19655.0873,1.4178,3.4448,0.008178
Malachite_1055.jpeg,1294,50.6461,248284.4080,0.7898,3.0197,0.018273
Malachite_1056.jpeg,1945,33.6946,188532.1062,1.1871,3.2611,0.010243
Malachite_1057.jpeg,1123,58.3580,1203079.6973,0.6854,2.8192,0.018795
Malachite_1058.jpeg,1567,41.8226,166291.7579,0.9564,2.9947,0.008013
Malachite_1059.jpeg,1811,36.1877,15667.7406,1.1053,3.9330,0.012103
