image_name,total_runs,average_length,variance_length,bits_per_pixel,entropy,compression_time
Pyrite_0.jpeg,2119,30.9278,25112.3756,1.2933,3.4497,0.016772
Pyrite_1.jpeg,1881,34.8410,57432.2974,1.1481,3.3042,0.013623
Pyrite_10.jpeg,2231,29.3752,18502.7212,1.3617,3.3683,0.013102
Pyrite_100.jpeg,2890,22.6768,4740.1668,1.7639,3.2646,0.012719
Pyrite_1000.jpeg,2265,28.9342,2644.4632,1.3824,3.5667,0.012771
Pyrite_1001.jpeg,1007,65.0804,78366.8624,0.6146,3.1720,0.017116
Pyrite_1002.jpeg,1631,40.1815,209182.0872,0.9955,3.4708,0.020484
Pyrite_1003.jpeg,2301,28.4815,24934.1080,1.4044,3.4729,0.019661
Pyrite_1004.jpeg,3453,18.9794,133430.8032,2.1075,3.0848,0.014998
Pyrite_1005.jpeg,2943,22.2684,18740.8624,1.7963,3.2801,0.022350
Pyrite_1006.jpeg,2443,26.8260,33914.8265,1.4911,2.6907,0.020936
Pyrite_1007.jpeg,2087,31.4020,4227.6951,1.2738,3.8158,0.017537
Pyrite_1008.jpeg,1984,33.0323,142132.3840,1.2109,3.4858,0.021619
Pyrite_1009.jpeg,2147,30.5245,45778.3137,1.3104,3.3675,0.007918
Pyrite_101.jpeg,1845,35.5209,53776.6322,1.1261,3.1494,0.009259
Pyrite_1010.jpeg,2203,29.7485,10744.3961,1.3446,3.3553,0.010288
Pyrite_1011.jpeg,3366,19.4700,19654.3044,2.0544,3.4810,0.020825
Pyrite_1012.jpeg,2201,29.7756,35834.9165,1.3434,3.3317,0.019181
Pyrite_1013.jpeg,3326,19.7041,14708.9630,2.0300,3.2877,0.012672
Pyrite_1014.jpeg,2242,29.2310,8845.0590,1.3684,3.3034,0.009974
Pyrite_1015.jpeg,2378,27.5593,3396.7646,1.4514,3.6965,0.012545
Pyrite_1016.jpeg,1879,34.8781,178359.5780,1.1469,3.0104,0.017058
Pyrite_1017.jpeg,2013,32.5564,243060.9502,1.2286,2.8426,0.018691
Pyrite_1018.jpeg,2331,28.1150,37185.1279,1.4227,3.2906,0.014234
Pyrite_1019.jpeg,3227,20.3086,10513.2887,1.9696,3.2550,0.011830
Pyrite_102.jpeg,3425,19.1346,10465.1203,2.0905,3.5139,0.018734
Pyrite_1020.jpeg,3751,17.4716,2607.5166,2.2894,3.1051,0.020341
Pyrite_1021.jpeg,2432,26.9474,52464.9882,1.4844,3.1161,0.018957
Pyrite_1022.jpeg,3840,17.0667,31184.9310,2.3438,3.1514,0.010852
Pyrite_1023.jpeg,1850,35.4249,321635.7968,1.1292,3.2347,0.012685
Pyrite_1024.jpeg,1722,38.0581,108039.8085,1.0510,3.3770,0.017098
Pyrite_1025.jpeg,2283,28.7061,21800.0271,1.3934,3.2713,0.014415
Pyrite_1026.jpeg,714,91.7871,1099381.5149,0.4358,3.5557,0.018827
Pyrite_1027.jpeg,2097,31.2523,61302.9564,1.2799,3.3794,0.014072
Pyrite_1028.jpeg,2245,29.1920,45643.2714,1.3702,3.1745,0.015323
Pyrite_1029.jpeg,2005,32.6863,89419.3904,1.2238,2.8310,0.013117
Pyrite_103.jpeg,4570,14.3405,48028.8512,2.7893,3.0822,0.018786
Pyrite_1030.jpeg,5413,12.1071,1226.8280,3.3038,3.0893,0.021174
Pyrite_1031.jpeg,3597,18.2196,4172.2392,2.1954,3.1741,0.018489
Pyrite_1032.jpeg,2547,25.7307,3231.9102,1.5546,3.4222,0.013803
Pyrite_1033.jpeg,2407,27.2273,5537.8757,1.4691,3.4924,0.015950
Pyrite_1034.jpeg,2279,28.7565,30974.6818,1.3910,3.2545,0.018843
Pyrite_1035.jpeg,5275,12.4239,12176.8762,3.2196,2.9961,0.020525
Pyrite_1036.jpeg,2531,25.8933,4300.3000,1.5448,3.4798,0.018301
Pyrite_1037.jpeg,3375,19.4181,1774.2717,2.0599,3.5689,0.011600
Pyrite_1038.jpeg,2039,32.1412,3420.6470,1.2445,3.4973,0.019617
Pyrite_1039.jpeg,6004,10.9154,1046.9935,3.6646,3.1289,0.017155
