image_name,total_runs,average_length,variance_length,bits_per_pixel,entropy,compression_time
Pyromorphite_0.jpeg,2853,22.9709,51089.8123,1.7413,3.2817,0.013091
Pyromorphite_1.jpeg,1865,35.1399,153047.1466,1.1383,2.9811,0.015077
Pyromorphite_10.jpeg,6428,10.1954,820.5505,3.9233,3.2223,0.013996
Pyromorphite_100.jpeg,1869,35.0647,152112.3752,1.1407,2.8282,0.013828
Pyromorphite_1000.jpeg,2208,29.6812,56180.5750,1.3477,2.9044,0.014911
Pyromorphite_1001.jpeg,2134,30.7104,342296.2938,1.3025,2.9663,0.013028
Pyromorphite_1002.jpeg,2583,25.3720,2934.3862,1.5765,3.4489,0.013713
Pyromorphite_1003.jpeg,2023,32.3955,116196.0285,1.2347,3.1145,0.011070
Pyromorphite_1004.jpeg,2134,30.7104,54185.3229,1.3025,3.3200,0.012120
Pyromorphite_1005.jpeg,2640,24.8242,33714.9577,1.6113,3.0927,0.012048
Pyromorphite_1006.jpeg,1920,34.1333,62049.9020,1.1719,3.2529,0.013104
Pyromorphite_1007.jpeg,3472,18.8756,9445.0692,2.1191,3.1616,0.013993
Pyromorphite_1008.jpeg,2281,28.7313,56800.6025,1.3922,2.9123,0.015146
Pyromorphite_1009.jpeg,1135,57.7410,377814.5338,0.6927,2.5953,0.013019
Pyromorphite_101.jpeg,1102,59.4701,1124152.3526,0.6726,2.8655,0.013007
Pyromorphite_1010.jpeg,2201,29.7756,6172.3149,1.3434,3.7151,0.013232
Pyromorphite_1011.jpeg,1995,32.8501,3475.6993,1.2177,3.7752,0.012982
Pyromorphite_1012.jpeg,2433,26.9363,3892.9737,1.4850,3.4531,0.014570
Pyromorphite_1013.jpeg,1520,43.1158,435878.0879,0.9277,3.1317,0.013018
Pyromorphite_1014.jpeg,1618,40.5043,308532.2574,0.9875,3.3656,0.015072
Pyromorphite_1015.jpeg,1838,35.6561,149593.7653,1.1218,3.3649,0.012035
Pyromorphite_1016.jpeg,2041,32.1098,117432.9189,1.2457,3.4312,0.013000
Pyromorphite_1017.jpeg,2255,29.0625,45548.8755,1.3763,3.4137,0.013031
Pyromorphite_1018.jpeg,4565,14.3562,60428.3012,2.7863,3.0766,0.014035
Pyromorphite_1019.jpeg,2263,28.9598,23692.0298,1.3812,3.2363,0.013052
Pyromorphite_102.jpeg,3118,21.0186,123614.8188,1.9031,3.2441,0.013106
Pyromorphite_1020.jpeg,1897,34.5472,76608.7475,1.1578,2.7223,0.013102
Pyromorphite_1021.jpeg,2093,31.3120,240482.7039,1.2775,2.9774,0.014036
Pyromorphite_1022.jpeg,2381,27.5246,8714.1142,1.4532,3.2911,0.013014
Pyromorphite_1023.jpeg,2825,23.1986,19480.7191,1.7242,3.4117,0.015084
Pyromorphite_1024.jpeg,3439,19.0567,32961.7429,2.0990,3.1292,0.015023
Pyromorphite_1025.jpeg,4593,14.2687,40153.4323,2.8033,3.1194,0.015000
Pyromorphite_1026.jpeg,1801,36.3887,3303.2837,1.0992,3.6685,0.012012
Pyromorphite_1027.jpeg,1984,33.0323,80635.2207,1.2109,3.2951,0.014033
Pyromorphite_1028.jpeg,2190,29.9251,27847.2227,1.3367,3.0994,0.013014
Pyromorphite_1029.jpeg,2199,29.8026,268299.1188,1.3422,3.0467,0.013021
Pyromorphite_103.jpeg,5541,11.8275,971.6739,3.3820,3.1650,0.013026
Pyromorphite_1030.jpeg,4864,13.4737,30005.8591,2.9688,2.8988,0.015043
Pyromorphite_1031.jpeg,1990,32.9327,44059.2829,1.2146,3.3091,0.015019
Pyromorphite_1032.jpeg,1901,34.4745,137838.6155,1.1603,3.2684,0.013014
