image_name,total_runs,average_length,variance_length,bits_per_pixel,entropy,compression_time
Quartz_0.jpeg,3637,18.0192,1822.4176,2.2198,3.3918,0.010020
Quartz_1.jpeg,1977,33.1492,6048.5984,1.2067,3.7238,0.010619
Quartz_10.jpeg,2251,29.1142,75332.0132,1.3739,3.1231,0.011001
Quartz_100.jpeg,1987,32.9824,55858.1089,1.2128,3.3734,0.011044
Quartz_1000.jpeg,4883,13.4213,26037.4623,2.9803,2.8505,0.011045
Quartz_1001.jpeg,6854,9.5617,1399.5260,4.1833,3.0442,0.011975
Quartz_1002.jpeg,1618,40.5043,177807.5504,0.9875,3.5122,0.009922
Quartz_1003.jpeg,6943,9.4391,825.6140,4.2377,2.9651,0.010995
Quartz_1004.jpeg,1707,38.3925,310719.4007,1.0419,3.0087,0.012962
Quartz_1005.jpeg,3041,21.5508,15967.3484,1.8561,3.2099,0.009993
Quartz_1006.jpeg,6247,10.4908,4721.7633,3.8129,2.9782,0.011022
Quartz_1007.jpeg,2071,31.6446,2927.9094,1.2640,3.4929,0.010011
Quartz_1008.jpeg,2523,25.9754,39553.3700,1.5399,3.1077,0.010010
Quartz_1009.jpeg,6641,9.8684,528.6850,4.0533,3.1610,0.012015
Quartz_101.jpeg,1853,35.3675,3732.7365,1.1310,3.9415,0.012044
Quartz_1010.jpeg,2307,28.4075,17878.1634,1.4081,3.5413,0.010999
Quartz_1011.jpeg,2723,24.0676,3206.3869,1.6620,3.4706,0.010011
Quartz_1012.jpeg,1933,33.9038,3152.7895,1.1798,3.5562,0.011055
Quartz_1013.jpeg,4098,15.9922,4845.9511,2.5012,3.2961,0.013030
Quartz_1014.jpeg,1871,35.0273,284146.3857,1.1420,2.9884,0.010015
Quartz_1015.jpeg,3728,17.5794,21365.8741,2.2754,3.0896,0.010036
Quartz_1016.jpeg,2461,26.6298,4456.0251,1.5021,3.3928,0.011012
Quartz_1017.jpeg,2046,32.0313,172738.2835,1.2488,3.1641,0.010974
Quartz_1018.jpeg,3579,18.3113,1414.2295,2.1844,3.5017,0.009227
Quartz_1019.jpeg,2639,24.8336,31874.1129,1.6107,3.1702,0.009996
Quartz_102.jpeg,2495,26.2669,1904.3095,1.5228,4.0572,0.009010
Quartz_1020.jpeg,5362,12.2223,2030.5160,3.2727,3.1938,0.012009
Quartz_1021.jpeg,1814,36.1279,97593.8844,1.1072,3.8274,0.012041
Quartz_1022.jpeg,2691,24.3538,58767.7188,1.6425,3.2954,0.013018
Quartz_1023.jpeg,2233,29.3489,4560.2039,1.3629,3.5237,0.010062
Quartz_1024.jpeg,1782,36.7767,102606.9288,1.0876,3.0978,0.011034
Quartz_1025.jpeg,1823,35.9495,132955.0781,1.1127,3.3703,0.009014
Quartz_1026.jpeg,1513,43.3153,389693.9264,0.9235,3.1351,0.011001
Quartz_1027.jpeg,2495,26.2669,187968.2358,1.5228,3.1565,0.009022
Quartz_1028.jpeg,1639,39.9854,293862.7942,1.0004,2.9391,0.011940
Quartz_1029.jpeg,2753,23.8053,14144.3159,1.6803,3.5376,0.008987
Quartz_103.jpeg,2237,29.2964,166327.1714,1.3654,3.1272,0.011023
