image_name,total_runs,average_length,variance_length,bits_per_pixel,entropy,compression_time
Wulfenite_0.jpeg,2233,29.3489,10863.5518,1.3629,3.2624,0.010906
Wulfenite_1.jpeg,4303,15.2303,5495.8277,2.6263,3.3650,0.013005
Wulfenite_10.jpeg,2017,32.4918,107813.7680,1.2311,3.1509,0.010013
Wulfenite_100.jpeg,2203,29.7485,157254.7547,1.3446,2.9860,0.012987
Wulfenite_1000.jpeg,1611,40.6803,402202.2994,0.9833,2.9961,0.011010
Wulfenite_1001.jpeg,2716,24.1296,2891.0723,1.6577,3.4363,0.010010
Wulfenite_1002.jpeg,2633,24.8902,4473.9359,1.6071,3.0745,0.012027
Wulfenite_1003.jpeg,2778,23.5911,89994.8897,1.6956,3.3961,0.010962
Wulfenite_1004.jpeg,4525,14.4831,1666.8906,2.7618,3.2822,0.011013
Wulfenite_1005.jpeg,3695,17.7364,27125.6729,2.2552,3.3105,0.011010
Wulfenite_1006.jpeg,2035,32.2044,160928.7405,1.2421,3.3173,0.012025
Wulfenite_1007.jpeg,2593,25.2742,25284.7883,1.5826,3.3500,0.011048
Wulfenite_1008.jpeg,1332,49.2012,384235.5586,0.8130,3.1982,0.011012
Wulfenite_1009.jpeg,2683,24.4264,8239.4626,1.6376,3.3824,0.010999
Wulfenite_101.jpeg,3373,19.4296,2514.4075,2.0587,3.3326,0.009998
Wulfenite_1010.jpeg,2073,31.6141,31850.6673,1.2653,3.5715,0.010993
Wulfenite_1011.jpeg,2813,23.2975,8430.6001,1.7169,3.3897,0.011999
Wulfenite_1012.jpeg,1884,34.7856,18770.3797,1.1499,3.7895,0.010071
Wulfenite_1013.jpeg,1284,51.0405,778155.2741,0.7837,3.3882,0.010274
Wulfenite_1014.jpeg,1855,35.3294,59431.3142,1.1322,3.6812,0.012026
Wulfenite_1015.jpeg,1064,61.5940,1147005.8727,0.6494,3.0617,0.010996
Wulfenite_1016.jpeg,3257,20.1216,25327.8790,1.9879,3.2178,0.009999
Wulfenite_1017.jpeg,1402,46.7447,109906.6338,0.8557,3.2786,0.010999
Wulfenite_1018.jpeg,1710,38.3251,47917.1165,1.0437,3.4114,0.010995
Wulfenite_1019.jpeg,2601,25.1965,2567.6050,1.5875,3.5321,0.012998
Wulfenite_102.jpeg,1741,37.6427,156028.2331,1.0626,3.0939,0.010993
Wulfenite_1020.jpeg,1731,37.8602,341352.7800,1.0565,2.9846,0.009998
Wulfenite_1021.jpeg,2589,25.3132,3251.9231,1.5802,3.5355,0.009998
Wulfenite_1022.jpeg,1743,37.5995,83275.2131,1.0638,3.0385,0.010995
Wulfenite_1023.jpeg,5269,12.4380,37530.5297,3.2159,3.0779,0.010998
Wulfenite_1024.jpeg,2345,27.9471,25613.6168,1.4313,3.2051,0.010996
Wulfenite_1025.jpeg,4937,13.2745,5884.6204,3.0133,3.1744,0.012000
Wulfenite_1026.jpeg,2673,24.5178,13020.5602,1.6315,3.4047,0.010998
Wulfenite_1027.jpeg,2561,25.5900,10718.2809,1.5631,3.4062,0.010998
Wulfenite_1028.jpeg,1989,32.9492,123768.1628,1.2140,3.1589,0.011028
Wulfenite_1029.jpeg,4344,15.0866,1707.2144,2.6514,3.2161,0.012018
Wulfenite_103.jpeg,1653,39.6467,170908.8516,1.0089,3.2455,0.009999
Wulfenite_1030.jpeg,2997,21.8672,19039.3898,1.8292,2.8380,0.010010
Wulfenite_1031.jpeg,1938,33.8163,3016.2820,1.1829,3.7003,0.010998
Wulfenite_1032.jpeg,2442,26.8370,39528.7654,1.4905,3.1935,0.009996
Wulfenite_1033.jpeg,1711,38.3027,31124.0942,1.0443,3.5758,0.009511
Wulfenite_1034.jpeg,5223,12.5476,1371.4141,3.1879,3.2009,0.009996
Wulfenite_1035.jpeg,2087,31.4020,81833.7402,1.2738,3.2369,0.012000
Wulfenite_1036.jpeg,1361,48.1528,85827.8091,0.8307,3.8370,0.010004
Wulfenite_1037.jpeg,3594,18.2348,6169.4090,2.1936,3.3157,0.009991
Wulfenite_1038.jpeg,2570,25.5004,14941.8399,1.5686,3.7732,0.009993
Wulfenite_1039.jpeg,1683,38.9400,12503.9067,1.0272,3.9793,0.010998
Wulfenite_104.jpeg,1464,44.7650,140846.3860,0.8936,3.3049,0.010996
Wulfenite_1040.jpeg,2141,30.6100,11712.5088,1.3068,3.3125,0.009996
Wulfenite_1041.jpeg,3906,16.7783,7271.9339,2.3840,3.2497,0.012080
Wulfenite_1042.jpeg,2741,23.9095,2481.8357,1.6730,3.4405,0.010594
Wulfenite_1043.jpeg,954,68.6960,572957.7525,0.5823,3.3366,0.011039
Wulfenite_1044.jpeg,2623,24.9851,10379.0371,1.6010,3.3375,0.011666
Wulfenite_1045.jpeg,1783,36.7560,144254.1923,1.0883,3.0666,0.012056
Wulfenite_1046.jpeg,2019,32.4596,245400.0978,1.2323,3.1891,0.010058
Wulfenite_1047.jpeg,2573,25.4707,2987.9678,1.5704,3.1830,0.011029
Wulfenite_1048.jpeg,2013,32.5564,40531.6785,1.2286,3.3546,0.011083
Wulfenite_1049.jpeg,2627,24.9471,41036.5846,1.6034,2.7566,0.011967
Wulfenite_105.jpeg,2775,23.6166,10844.3294,1.6937,3.2761,0.013049
Wulfenite_1050.jpeg,5839,11.2238,14298.1306,3.5638,2.9730,0.012123
Wulfenite_1051.jpeg,2893,22.6533,5696.6911,1.7657,3.2846,0.010915
Wulfenite_1052.jpeg,2456,26.6840,3297.8782,1.4990,3.5962,0.010989
Wulfenite_1053.jpeg,2575,25.4509,35653.8787,1.5717,3.4293,0.012072
Wulfenite_1054.jpeg,2713,24.1563,40743.0010,1.6559,3.0726,0.012009
Wulfenite_1055.jpeg,3615,18.1289,2474.7635,2.2064,3.4031,0.011001
Wulfenite_1056.jpeg,1755,37.3425,125756.0292,1.0712,2.9226,0.013052
Wulfenite_1057.jpeg,2511,26.0996,7672.8081,1.5326,3.2415,0.010990
Wulfenite_1058.jpeg,2486,26.3620,134504.3355,1.5173,3.0214,0.012016
Wulfenite_1059.jpeg,2707,24.2098,2795.9043,1.6522,3.5172,0.010011
Wulfenite_106.jpeg,2303,28.4568,41381.2711,1.4056,3.3824,0.009992
Wulfenite_1060.jpeg,1936,33.8512,29717.7744,1.1816,3.6180,0.011043
Wulfenite_1061.jpeg,2501,26.2039,3365.1707,1.5265,3.4243,0.009972
Wulfenite_1062.jpeg,2348,27.9114,4284.8107,1.4331,3.5115,0.009991
Wulfenite_1063.jpeg,1798,36.4494,5093.6390,1.0974,3.8669,0.009034
Wulfenite_1064.jpeg,2469,26.5435,68616.8945,1.5070,3.2481,0.010007
Wulfenite_1065.jpeg,2983,21.9698,30216.4731,1.8207,3.0793,0.010976
Wulfenite_1066.jpeg,2133,30.7248,42965.5412,1.3019,3.2004,0.011022
Wulfenite_1067.jpeg,1795,36.5103,3760.5429,1.0956,3.8602,0.011021
Wulfenite_1068.jpeg,2131,30.7536,3256.8342,1.3007,3.7047,0.012031
Wulfenite_1069.jpeg,2345,27.9471,15969.2117,1.4313,3.2098,0.011897
Wulfenite_107.jpeg,2541,25.7914,28371.3740,1.5509,3.3276,0.010040
Wulfenite_1070.jpeg,2421,27.0698,5489.5841,1.4777,3.4326,0.011024
Wulfenite_1071.jpeg,2261,28.9854,86645.7561,1.3800,3.4447,0.010960
Wulfenite_1072.jpeg,2157,30.3829,2940.6563,1.3165,3.5214,0.012998
Wulfenite_1073.jpeg,2169,30.2148,49353.9160,1.3239,3.4246,0.010991
Wulfenite_1074.jpeg,3129,20.9447,7134.6230,1.9098,3.3553,0.012996
Wulfenite_1075.jpeg,3729,17.5747,2104.2240,2.2760,3.2982,0.013021
Wulfenite_1076.jpeg,6105,10.7348,951.5577,3.7262,3.0866,0.012990
Wulfenite_1077.jpeg,2608,25.1288,90153.8561,1.5918,2.9921,0.011012
